cluster,depth,startdate,type,sequence,seqdep,phase
6,131.8,2001-09-18,E,E6,E6D,0
1,,2001-09-21,V,V1,V1,0
10,,2001-09-25,V,V10,V10,0
11,,2001-09-27,V,V11,V11,1
11,33.0,2001-09-29,E,E11,E11,1
11,33.0,2001-09-30,E,E11,E11,1
3,,2001-10-01,V,V3,V3,1
11,106.9,2001-10-02,E,E11,E11D,1
7,,2001-10-05,V,V7,V7,2
6,10.0,2001-10-07,E,E6,E6,2
7,48.5,2001-10-08,E,E7,E7,2
7,33.0,2001-10-08,E,E7,E7,2
1,37.0,2001-10-12,E,E1,E1,3
5,20.0,2001-10-12,E,E5,E5,3
6,33.0,2001-10-13,E,E6,E6,3
14,33.0,2001-10-17,E,E14,E14,0
6,33.0,2001-10-19,E,E6,E6,0
11,18.0,2001-10-21,E,E11,E11,0
11,33.0,2001-10-26,E,E11,E11,1
11,33.0,2001-10-31,E,E11,E11,1
14,,2001-10-31,V,V14,V14,1
11,564.1,2001-11-05,E,E11,E11DD,2
14,10.0,2001-11-09,E,E14,E14,2
0,33.0,2001-11-13,E,E0,E0,3
7,33.0,2001-11-13,E,E7,E7,3
7,33.0,2001-11-13,E,E7,E7,3
13,10.0,2001-11-14,E,E13,E13,3
9,10.0,2001-11-15,E,E9,E9,3
7,,2001-11-15,V,V7,V7,3
6,33.0,2001-11-20,E,E6,E6,0
11,10.0,2001-11-22,E,E11,E11,0
11,10.0,2001-11-22,E,E11,E11,0
13,106.5,2001-11-23,E,E13,E13D,0
3,,2001-11-24,V,V3,V3,1
14,,2001-11-26,V,V14,V14,1
11,10.0,2001-11-27,E,E11,E11,1
0,84.9,2001-11-28,E,E0,E0D,1
9,,2001-12-01,V,V9,V9,1
11,100.5,2001-12-02,E,E11,E11D,2
7,123.8,2001-12-02,E,E7,E7D,2
11,10.0,2001-12-03,E,E11,E11,2
14,,2001-12-04,V,V14,V14,2
8,33.0,2001-12-08,E,E8,E8,2
6,156.3,2001-12-09,E,E6,E6D,2
7,,2001-12-10,V,V7,V7,3
11,33.0,2001-12-12,E,E11,E11,3
6,10.0,2001-12-12,E,E6,E6,3
8,14.0,2001-12-18,E,E8,E8,0
11,74.2,2001-12-22,E,E11,E11D,0
11,16.0,2001-12-23,E,E11,E11,1
11,153.2,2001-12-27,E,E11,E11D,1
14,160.6,2001-12-28,E,E14,E14D,1
4,10.0,2002-01-01,E,E4,E4,2
6,138.1,2002-01-01,E,E6,E6D,2
11,665.8,2002-01-02,E,E11,E11DD,2
11,21.0,2002-01-02,E,E11,E11,2
11,10.0,2002-01-03,E,E11,E11,2
13,129.3,2002-01-03,E,E13,E13D,2
14,,2002-01-04,V,V14,V14,2
2,,2002-01-05,V,V2,V2,2
6,11.0,2002-01-10,E,E6,E6,3
11,43.6,2002-01-13,E,E11,E11,3
11,,2002-01-13,V,V11,V11,3
10,10.0,2002-01-15,E,E10,E10,0
11,10.0,2002-01-15,E,E11,E11,0
11,41.1,2002-01-15,E,E11,E11,0
0,80.2,2002-01-16,E,E0,E0D,0
14,,2002-01-16,V,V14,V14,0
9,,2002-01-17,V,V9,V9,0
9,88.0,2002-01-22,E,E9,E9D,1
7,,2002-01-25,V,V7,V7,1
11,33.0,2002-01-28,E,E11,E11,1
7,33.0,2002-01-28,E,E7,E7,1
11,33.0,2002-01-30,E,E11,E11,2
9,5.0,2002-02-03,E,E9,E9,2
9,10.0,2002-02-03,E,E9,E9,2
11,39.0,2002-02-05,E,E11,E11,2
6,,2002-02-09,V,V6,V6,3
4,10.0,2002-02-15,E,E4,E4,0
11,10.0,2002-02-19,E,E11,E11,0
11,40.2,2002-02-28,E,E11,E11,1
11,,2002-03-01,V,V11,V11,2
13,209.0,2002-03-03,E,E13,E13D,2
13,225.6,2002-03-03,E,E13,E13D,2
6,31.0,2002-03-05,E,E6,E6,2
6,23.3,2002-03-08,E,E6,E6,2
3,118.4,2002-03-09,E,E3,E3D,3
2,10.0,2002-03-17,E,E2,E2,0
6,148.1,2002-03-19,E,E6,E6D,0
13,8.0,2002-03-25,E,E13,E13,1
8,33.0,2002-03-26,E,E8,E8,1
3,125.1,2002-03-28,E,E3,E3D,1
8,32.8,2002-03-31,E,E8,E8,2
11,,2002-04-01,V,V11,V11,2
14,,2002-04-01,V,V14,V14,2
11,10.0,2002-04-07,E,E11,E11,2
11,10.0,2002-04-08,E,E11,E11,3
7,,2002-04-09,V,V7,V7,3
11,10.0,2002-04-11,E,E11,E11,3
0,24.9,2002-04-18,E,E0,E0,0
3,62.0,2002-04-18,E,E3,E3,0
11,33.0,2002-04-20,E,E11,E11,0
4,10.0,2002-04-24,E,E4,E4,1
1,85.7,2002-04-26,E,E1,E1D,1
11,130.8,2002-05-08,E,E11,E11D,3
8,,2002-05-11,V,V8,V8,3
2,10.0,2002-05-14,E,E2,E2,0
8,10.0,2002-05-15,E,E8,E8,0
9,,2002-05-17,V,V9,V9,0
3,52.1,2002-05-23,E,E3,E3,1
11,,2002-05-24,V,V11,V11,1
5,33.0,2002-05-25,E,E5,E5,1
11,,2002-05-25,V,V11,V11,1
3,22.2,2002-05-28,E,E3,E3,1
8,33.0,2002-05-28,E,E8,E8,1
14,,2002-05-29,V,V14,V14,2
14,,2002-05-30,V,V14,V14,2
6,,2002-06-01,V,V6,V6,2
11,10.0,2002-06-06,E,E11,E11,3
14,,2002-06-07,V,V14,V14,3
1,33.0,2002-06-10,E,E1,E1,3
2,10.0,2002-06-13,E,E2,E2,0
14,35.0,2002-06-16,E,E14,E14,0
11,33.0,2002-06-17,E,E11,E11,0
4,10.0,2002-06-17,E,E4,E4,0
3,54.0,2002-06-18,E,E3,E3,0
11,33.0,2002-06-21,E,E11,E11,1
13,10.0,2002-06-22,E,E13,E13,1
10,11.0,2002-06-27,E,E10,E10,2
11,186.7,2002-06-27,E,E11,E11D,2
7,566.0,2002-06-28,E,E7,E7DD,2
11,33.0,2002-06-29,E,E11,E11,2
11,620.4,2002-06-30,E,E11,E11DD,2
3,,2002-07-01,V,V3,V3,2
5,,2002-07-01,V,V5,V5,2
11,31.2,2002-07-03,E,E11,E11,2
4,10.0,2002-07-19,E,E4,E4,1
9,,2002-07-25,V,V9,V9,1
3,33.0,2002-07-30,E,E3,E3,2
14,10.0,2002-07-31,E,E14,E14,2
5,,2002-08-01,V,V5,V5,2
7,426.1,2002-08-02,E,E7,E7DD,2
11,,2002-08-03,V,V11,V11,2
3,10.0,2002-08-04,E,E3,E3,3
14,10.0,2002-08-07,E,E14,E14,3
11,364.1,2002-08-09,E,E11,E11DD,0
11,112.2,2002-08-12,E,E11,E11D,0
7,,2002-08-12,V,V7,V7,0
1,30.0,2002-08-14,E,E1,E1,0
1,10.0,2002-08-14,E,E1,E1,0
6,10.0,2002-08-15,E,E6,E6,0
11,580.0,2002-08-19,E,E11,E11DD,1
