Year,Value
192909,-0.2113
192910,-0.1190
192911,-0.0982
192912,-0.5113
193001,-0.3423
193002,-0.2066
193003,-0.0471
193004,-0.1966
193005,-0.1996
193006,-0.0771
193007,-0.0639
193008,-0.0834
193009,-0.1039
193010,0.0007
193011,0.1402
193012,0.0067
193101,-0.0467
193102,-0.2212
193103,-0.0066
193104,-0.1609
193105,-0.1543
193106,-0.0207
193107,-0.0134
193108,0.0041
193109,0.0010
193110,0.0102
193111,-0.1151
193112,-0.1088
193201,0.1540
193202,-0.1793
193203,-0.1868
193204,-0.0364
193205,-0.1710
193206,-0.1611
193207,-0.1244
193208,-0.1780
193209,-0.0729
193210,-0.0936
193211,-0.1980
193212,-0.1887
193301,-0.3112
193302,-0.3170
193303,-0.2505
193304,-0.2071
193305,-0.2102
193306,-0.2019
193307,-0.1822
193308,-0.1902
193309,-0.2228
193310,-0.1891
193311,-0.2588
193312,-0.4102
193401,-0.3173
193402,-0.0263
193403,-0.2620
193404,-0.2371
193405,-0.0492
193406,-0.0115
193407,-0.0966
193408,-0.0606
193409,-0.1285
193410,-0.0738
193411,0.0024
193412,-0.0293
193501,-0.2948
193502,0.1626
193503,-0.1520
193504,-0.2603
193505,-0.2072
193506,-0.1740
193507,-0.1176
193508,-0.1031
193509,-0.0920
193510,-0.0119
193511,-0.2709
193512,-0.1759
193601,-0.2566
193602,-0.3167
193603,-0.2116
193604,-0.1811
193605,-0.1186
193606,-0.1085
193607,-0.0128
193608,-0.0558
193609,-0.0417
193610,-0.0249
193611,-0.0294
193612,-0.0188
193701,-0.1720
193702,0.0363
193703,-0.1841
193704,-0.1272
193705,-0.0225
193706,0.0090
193707,-0.0025
193708,0.0902
193709,0.1301
193710,0.1121
193711,0.0076
193712,-0.0917
193801,-0.0376
193802,-0.0549
193803,0.0304
193804,0.0424
193805,-0.0191
193806,-0.0935
193807,-0.0496
193808,-0.0156
193809,0.0304
193810,0.0767
193811,0.0044
193812,-0.2545
193901,-0.1665
193902,-0.1087
193903,-0.1881
193904,-0.1308
193905,-0.0382
193906,-0.0115
193907,0.0069
193908,0.0567
193909,0.0120
193910,-0.0409
193911,0.0458
193912,0.4055
194001,-0.1254
194002,0.0529
194003,0.0680
194004,0.1259
194005,0.0555
194006,0.1051
194007,0.1480
194008,0.0920
194009,0.1482
194010,0.1003
194011,0.1009
194012,0.2698
194101,0.1818
194102,0.2310
194103,0.1057
194104,0.2267
194105,0.2494
194106,0.1669
194107,0.2119
194108,0.1782
194109,0.0900
194110,0.3164
194111,0.2250
194112,0.2108
194201,0.2993
194202,0.1006
194203,0.1792
194204,0.1925
194205,0.1669
194206,0.2120
194207,0.0815
194208,0.0455
194209,0.1188
194210,0.1497
194211,0.1701
194212,0.1521
194301,-0.0249
194302,0.1692
194303,0.0779
194304,0.1725
194305,0.1359
194306,0.0295
194307,0.1891
194308,0.1020
194309,0.1464
194310,0.3163
194311,0.2496
194312,0.3606
194401,0.4259
194402,0.3062
194403,0.3693
194404,0.2706
194405,0.2705
194406,0.3423
194407,0.3200
194408,0.2804
194409,0.3860
194410,0.3207
194411,0.1527
194412,0.1021
194501,0.1577
194502,0.0214
194503,0.1148
194504,0.2814
194505,0.1790
194506,0.1496
194507,0.1723
194508,0.3605
194509,0.2614
194510,0.2666
194511,0.2012
194512,-0.0426
194601,0.2249
194602,0.0926
194603,0.0041
194604,0.1784
194605,-0.0265
194606,-0.0983
194607,-0.0311
194608,-0.0653
194609,-0.0137
194610,-0.0065
194611,-0.0098
194612,-0.2618
194701,-0.1791
194702,-0.0734
194703,-0.0059
194704,0.0189
194705,-0.0169
194706,0.0242
194707,-0.0085
194708,-0.0590
194709,-0.1271
194710,0.0593
194711,-0.0206
194712,-0.1423
194801,0.0541
194802,-0.0902
194803,-0.1843
194804,-0.0613
194805,0.1489
194806,-0.0079
194807,-0.0564
194808,-0.0207
194809,-0.0984
194810,-0.0633
194811,-0.0571
194812,-0.1110
194901,0.1238
194902,-0.1446
194903,-0.0697
194904,0.0106
194905,-0.0028
194906,-0.1451
194907,-0.0734
194908,-0.0193
194909,-0.0677
194910,-0.0292
194911,-0.0514
194912,-0.1805
195001,-0.2749
195002,-0.2349
195003,-0.0815
195004,-0.1654
195005,-0.0486
195006,-0.0515
195007,-0.0985
195008,-0.1332
195009,-0.1002
195010,-0.1627
195011,-0.3585
195012,-0.1783
195101,-0.2882
195102,-0.4074
195103,-0.1649
195104,-0.0847
195105,0.0598
195106,0.0399
195107,0.1129
195108,0.1158
195109,0.1348
195110,0.1097
195111,0.0281
195112,0.2167
195201,0.1550
195202,0.0948
195203,-0.0441
195204,0.0703
195205,0.0387
195206,0.0420
195207,0.0755
195208,0.0691
195209,0.0698
195210,-0.0336
195211,-0.1942
195212,-0.0050
195301,0.1048
195302,0.1574
195303,0.1587
195304,0.1905
195305,0.1486
195306,0.1288
195307,0.0708
195308,0.0833
195309,0.0668
195310,0.0757
195311,-0.0587
195312,0.0601
195401,-0.2340
195402,-0.0840
195403,-0.0874
195404,-0.1732
195405,-0.1980
195406,-0.1124
195407,-0.1201
195408,-0.0874
195409,-0.0569
195410,-0.0680
195411,0.0423
195412,-0.1831
195501,0.0920
195502,-0.1273
195503,-0.3075
195504,-0.2351
195505,-0.1236
195506,-0.0669
195507,-0.0854
195508,-0.0228
195509,-0.0908
195510,-0.1223
195511,-0.2350
195512,-0.2683
195601,-0.1742
195602,-0.2697
195603,-0.1954
195604,-0.2809
195605,-0.2240
195606,-0.1405
195607,-0.1324
195608,-0.1855
195609,-0.2500
195610,-0.1969
195611,-0.1522
195612,-0.1516
195701,-0.1152
195702,-0.1082
195703,-0.0641
195704,-0.0151
195705,0.1133
195706,0.1615
195707,0.0626
195708,0.1335
195709,0.0771
195710,0.0173
195711,0.1316
195712,0.2323
195801,0.3003
195802,0.2130
195803,0.1217
195804,0.1181
195805,0.1067
195806,0.0668
195807,0.0690
195808,0.0554
195809,0.0227
195810,0.0426
195811,0.0937
195812,0.1473
195901,0.1294
195902,0.0723
195903,0.2099
195904,0.1220
195905,0.0330
195906,0.0900
195907,0.0716
195908,0.0563
195909,0.1031
195910,-0.0084
195911,-0.0735
195912,-0.0302
196001,0.0076
196002,0.1901
196003,-0.1987
196004,-0.0913
196005,-0.0800
196006,0.0813
196007,0.0367
196008,0.0493
196009,0.0678
196010,0.0426
196011,-0.0453
196012,0.2309
196101,0.1234
196102,0.1798
196103,0.1663
196104,0.1369
196105,0.1653
196106,0.1521
196107,0.0381
196108,0.0338
196109,-0.0042
196110,-0.0322
196111,0.0194
196112,-0.0155
196201,0.1376
196202,0.1727
196203,0.1228
196204,0.0804
196205,0.0622
196206,0.0610
196207,0.0933
196208,0.0589
196209,0.0662
196210,0.0816
196211,0.0802
196212,0.0894
196301,0.0407
196302,0.2580
196303,-0.0208
196304,-0.0003
196305,0.0149
196306,0.0498
196307,0.1397
196308,0.1593
196309,0.1671
196310,0.2161
196311,0.1968
196312,0.0849
196401,0.0525
196402,-0.1009
196403,-0.1388
196404,-0.1805
196405,-0.0951
196406,-0.0892
196407,-0.1091
196408,-0.1643
196409,-0.2065
196410,-0.2621
196411,-0.2009
196412,-0.2618
196501,-0.0669
196502,-0.1945
196503,-0.0976
196504,-0.1842
196505,-0.0750
196506,-0.0411
196507,-0.0825
196508,-0.0439
196509,-0.0472
196510,0.0260
196511,-0.0886
196512,-0.0103
196601,-0.0429
196602,-0.0351
196603,0.0006
196604,-0.0873
196605,-0.0322
196606,0.0608
196607,0.0686
196608,0.0224
196609,0.0280
196610,-0.0560
196611,-0.0421
196612,-0.1210
196701,-0.1028
196702,-0.1629
196703,0.0072
196704,0.0095
196705,0.1295
196706,-0.0265
196707,-0.0167
196708,-0.0026
196709,-0.0286
196710,0.1310
196711,-0.0209
196712,-0.0402
196801,-0.1843
196802,-0.1236
196803,0.1539
196804,-0.0677
196805,-0.0768
196806,-0.0148
196807,-0.0203
196808,-0.0138
196809,-0.0103
196810,0.0477
196811,0.0171
196812,-0.0412
196901,-0.1280
196902,-0.1011
196903,0.1227
196904,0.1964
196905,0.1782
196906,0.0776
196907,0.0939
196908,0.0989
196909,0.0882
196910,0.0725
196911,0.1957
196912,0.2495
197001,0.1248
197002,0.2392
197003,0.0363
197004,0.1340
197005,0.0442
197006,0.0306
197007,-0.0207
197008,-0.0180
197009,0.0101
197010,-0.0354
197011,0.0243
197012,-0.0925
197101,-0.0016
197102,-0.2132
197103,-0.1373
197104,-0.1275
197105,-0.0877
197106,-0.1247
197107,-0.0617
197108,-0.0680
197109,-0.0401
197110,-0.0750
197111,0.0395
197112,-0.0203
197201,-0.2393
197202,-0.1600
