cluster,mag,startday,startmonth,startyear,type,clustertype,startdate
6,7.8,14,11,2001,E,6E,11/14/01
3,6.3,15,11,2001,E,3E,11/15/01
9,6.2,20,11,2001,E,9E,11/20/01
7,6.2,22,11,2001,E,7E,11/22/01
7,6.3,22,11,2001,E,7E,11/22/01
6,6.1,23,11,2001,E,6E,11/23/01
8,6,27,11,2001,E,8E,11/27/01
4,6.4,28,11,2001,E,4E,11/28/01
7,6,2,12,2001,E,7E,12/2/01
1,6.5,2,12,2001,E,1E,12/2/01
8,6.4,3,12,2001,E,8E,12/3/01
1,6.2,8,12,2001,E,1E,12/8/01
9,6.1,9,12,2001,E,9E,12/9/01
7,6.1,12,12,2001,E,7E,12/12/01
9,7.1,12,12,2001,E,9E,12/12/01
9,6.8,18,12,2001,E,9E,12/18/01
7,6,22,12,2001,E,7E,12/22/01
7,6.8,23,12,2001,E,7E,12/23/01
7,6.2,27,12,2001,E,7E,12/27/01
4,6,28,12,2001,E,4E,12/28/01
