cluster,startdate,type,sequence,phase,month
11,2013-04-14,E,E11,3,4
13,2013-04-16,E,E13,5,4
6,2013-04-16,E,E6,5,4
7,2013-04-19,E,E7,8,4
7,2013-04-19,E,E7,8,4
7,2013-04-20,E,E7,9,4
8,2013-04-20,E,E8,9,4
7,2013-04-21,E,E7,10,4
0,2013-04-22,E,E0,11,4
11,2013-04-23,E,E11,12,4
11,2013-04-26,E,E11,15,4
11,2013-04-26,E,E11,15,4
11,2013-05-07,E,E11,26,5
8,2013-05-07,V,V8,26,5
11,2013-05-11,E,E11,0,5
13,2013-05-11,E,E13,0,5
5,2013-05-13,V,V5,2,5
1,2013-05-14,E,E1,3,5
7,2013-05-18,E,E7,7,5
3,2013-05-20,E,E3,9,5
7,2013-05-21,E,E7,10,5
7,2013-05-21,E,E7,10,5
14,2013-05-21,V,V14,10,5
11,2013-05-23,E,E11,12,5
11,2013-05-23,E,E11,12,5
7,2013-05-24,E,E7,13,5
7,2013-05-24,E,E7,13,5
8,2013-06-02,E,E8,22,6
8,2013-06-04,V,V8,24,6
11,2013-06-05,E,E11,25,6
14,2013-06-07,V,V14,27,6
7,2013-06-11,V,V7,2,6
10,2013-06-13,E,E10,4,6
5,2013-06-13,V,V5,4,6
11,2013-06-15,E,E11,6,6
14,2013-06-15,E,E14,6,6
9,2013-06-15,E,E9,6,6
9,2013-06-16,E,E9,7,6
14,2013-06-24,E,E14,15,6
10,2013-07-02,E,E10,23,7
11,2013-07-04,E,E11,25,7
3,2013-07-04,V,V3,25,7
10,2013-07-06,E,E10,27,7
11,2013-07-07,E,E11,28,7
11,2013-07-07,E,E11,28,7
11,2013-07-08,V,V11,29,7
3,2013-07-15,E,E3,6,7
11,2013-07-16,E,E11,7,7
3,2013-07-17,E,E3,8,7
11,2013-07-21,E,E11,12,7
2,2013-07-22,E,E2,13,7
3,2013-07-25,V,V3,16,7
11,2013-07-26,E,E11,17,7
3,2013-07-26,E,E3,17,7
11,2013-08-01,E,E11,23,8
11,2013-08-12,E,E11,5,8
14,2013-08-12,E,E14,5,8
6,2013-08-12,E,E6,5,8
14,2013-08-13,E,E14,6,8
7,2013-08-15,V,V7,8,8
11,2013-08-16,E,E11,9,8
2,2013-08-17,E,E2,10,8
6,2013-08-20,V,V6,13,8
0,2013-08-21,E,E0,14,8
11,2013-08-28,E,E11,21,8
5,2013-08-30,E,E5,23,8
6,2013-09-01,E,E6,25,9
5,2013-09-03,E,E5,27,9
9,2013-09-03,V,V9,27,9
5,2013-09-04,E,E5,28,9
5,2013-09-04,E,E5,28,9
5,2013-09-04,E,E5,28,9
7,2013-09-04,E,E7,28,9
14,2013-09-05,E,E14,29,9
14,2013-09-07,E,E14,1,9
4,2013-09-11,E,E4,5,9
5,2013-09-15,E,E5,9,9
10,2013-09-15,V,V10,9,9
6,2013-09-21,E,E6,15,9
13,2013-09-24,E,E13,18,9
3,2013-09-25,E,E3,19,9
13,2013-09-28,E,E13,22,9
13,2013-09-28,V,V13,22,9
11,2013-09-30,E,E11,24,9
7,2013-10-01,E,E7,25,10
2,2013-10-04,E,E2,28,10
10,2013-10-05,V,V10,29,10
1,2013-10-06,E,E1,0,10
4,2013-10-06,E,E4,0,10
11,2013-10-11,E,E11,5,10
14,2013-10-12,E,E14,6,10
9,2013-10-12,E,E9,6,10
10,2013-10-12,V,V10,6,10
6,2013-10-15,E,E6,9,10
11,2013-10-16,E,E11,10,10
0,2013-10-19,E,E0,13,10
7,2013-10-23,V,V7,17,10
3,2013-10-24,E,E3,18,10
7,2013-10-25,E,E7,19,10
11,2013-10-29,E,E11,23,10
3,2013-10-30,E,E3,24,10
3,2013-10-31,E,E3,25,10
8,2013-10-31,E,E8,25,10
11,2013-11-02,E,E11,27,11
4,2013-11-02,E,E4,27,11
7,2013-11-12,E,E7,8,11
3,2013-11-13,E,E3,9,11
3,2013-11-16,E,E3,12,11
3,2013-11-17,E,E3,13,11
10,2013-11-18,V,V10,14,11
1,2013-11-19,E,E1,15,11
6,2013-11-19,E,E6,15,11
1,2013-11-20,V,V1,16,11
11,2013-11-23,E,E11,19,11
3,2013-11-25,E,E3,21,11
10,2013-12-01,E,E10,27,12
6,2013-12-01,E,E6,27,12
7,2013-12-08,E,E7,4,12
1,2013-12-17,E,E1,13,12
5,2013-12-28,V,V5,24,12
14,2013-12-29,V,V14,25,12
11,2014-01-01,E,E11,28,1
6,2014-01-04,V,V6,2,1
14,2014-01-13,E,E14,11,1
8,2014-01-13,V,V8,11,1
11,2014-01-20,E,E11,18,1
10,2014-01-25,E,E10,23,1
9,2014-01-26,E,E9,24,1
11,2014-01-29,V,V11,27,1
3,2014-02-01,E,E3,1,2
11,2014-02-02,E,E11,2,2
9,2014-02-03,E,E9,3,2
10,2014-02-03,V,V10,3,2
14,2014-02-04,V,V14,4,2
11,2014-02-07,E,E11,7,2
5,2014-02-07,V,V5,7,2
11,2014-02-09,E,E11,9,2
6,2014-02-09,V,V6,9,2
13,2014-02-12,E,E13,12,2
10,2014-02-13,V,V10,13,2
14,2014-02-18,E,E14,18,2
5,2014-02-26,E,E5,26,2
14,2014-03-02,E,E14,0,3
14,2014-03-02,E,E14,0,3
8,2014-03-02,E,E8,0,3
11,2014-03-05,E,E11,3,3
10,2014-03-08,V,V10,6,3
10,2014-03-09,V,V10,7,3
0,2014-03-10,E,E0,8,3
11,2014-03-11,E,E11,9,3
3,2014-03-11,E,E3,9,3
7,2014-03-13,E,E7,11,3
14,2014-03-15,E,E14,13,3
3,2014-03-15,E,E3,13,3
3,2014-03-16,E,E3,14,3
3,2014-03-17,E,E3,15,3
10,2014-03-21,E,E10,19,3
3,2014-03-22,E,E3,20,3
3,2014-03-23,E,E3,21,3
11,2014-03-26,E,E11,24,3
11,2014-03-26,V,V11,24,3
10,2014-03-31,V,V10,0,3
3,2014-04-01,E,E3,1,4
3,2014-04-01,E,E3,1,4
14,2014-04-02,E,E14,2,4
3,2014-04-03,E,E3,3,4
3,2014-04-03,E,E3,3,4
3,2014-04-03,E,E3,3,4
11,2014-04-04,E,E11,4,4
3,2014-04-04,E,E3,4,4
14,2014-04-10,E,E14,10,4
11,2014-04-11,E,E11,11,4
11,2014-04-11,E,E11,11,4
14,2014-04-11,E,E14,11,4
3,2014-04-11,E,E3,11,4
11,2014-04-12,E,E11,12,4
11,2014-04-12,E,E11,12,4
11,2014-04-13,E,E11,13,4
11,2014-04-13,E,E11,13,4
2,2014-04-15,E,E2,15,4
11,2014-04-17,E,E11,17,4
0,2014-04-18,E,E0,18,4
11,2014-04-18,E,E11,18,4
11,2014-04-19,E,E11,19,4
11,2014-04-19,E,E11,19,4
11,2014-04-20,E,E11,20,4
5,2014-04-24,E,E5,24,4
1,2014-04-24,V,V1,24,4
11,2014-04-26,E,E11,26,4
11,2014-05-01,E,E11,1,5
11,2014-05-04,E,E11,4,5
11,2014-05-04,E,E11,4,5
7,2014-05-04,E,E7,4,5
8,2014-05-05,E,E8,5,5
4,2014-05-06,E,E4,6,5
11,2014-05-07,E,E11,7,5
0,2014-05-08,E,E0,8,5
0,2014-05-10,E,E0,10,5
4,2014-05-12,E,E4,12,5
14,2014-05-13,E,E14,13,5
1,2014-05-14,E,E1,14,5
1,2014-05-15,E,E1,15,5
6,2014-05-15,E,E6,15,5
10,2014-05-18,E,E10,18,5
10,2014-05-21,E,E10,21,5
9,2014-05-24,E,E9,24,5
6,2014-05-30,V,V6,1,5
9,2014-05-30,V,V9,1,5
0,2014-05-31,E,E0,2,5
5,2014-05-31,V,V5,2,5
7,2014-06-06,V,V7,8,6
6,2014-06-08,V,V6,10,6
10,2014-06-14,E,E10,16,6
11,2014-06-19,E,E11,21,6
2,2014-06-21,V,V2,23,6
11,2014-06-23,E,E11,25,6
11,2014-06-23,E,E11,25,6
11,2014-06-23,E,E11,25,6
5,2014-06-23,E,E5,25,6
5,2014-06-23,E,E5,25,6
5,2014-06-23,E,E5,25,6
5,2014-06-23,E,E5,25,6
5,2014-06-24,E,E5,26,6
1,2014-06-29,E,E1,1,6
11,2014-06-29,E,E11,1,6
11,2014-06-29,E,E11,1,6
3,2014-06-29,E,E3,1,6
3,2014-06-29,E,E3,1,6
1,2014-06-30,E,E1,2,6
11,2014-07-02,E,E11,4,7
11,2014-07-03,E,E11,5,7
11,2014-07-04,E,E11,6,7
3,2014-07-04,V,V3,6,7
10,2014-07-05,E,E10,7,7
14,2014-07-07,E,E14,9,7
11,2014-07-07,V,V11,9,7
11,2014-07-08,E,E11,10,7
7,2014-07-11,E,E7,13,7
6,2014-07-14,E,E6,16,7
5,2014-07-17,E,E5,19,7
11,2014-07-19,E,E11,21,7
13,2014-07-19,E,E13,21,7
7,2014-07-20,E,E7,22,7
11,2014-07-21,E,E11,23,7
5,2014-07-25,E,E5,27,7
14,2014-07-27,E,E14,0,7
0,2014-07-29,E,E0,2,7
11,2014-07-29,E,E11,2,7
11,2014-08-03,E,E11,7,8
8,2014-08-03,E,E8,7,8
8,2014-08-03,V,V8,7,8
6,2014-08-06,E,E6,10,8
7,2014-08-10,E,E7,14,8
3,2014-08-13,V,V3,17,8
8,2014-08-13,V,V8,17,8
13,2014-08-18,E,E13,22,8
13,2014-08-18,E,E13,22,8
3,2014-08-23,E,E3,27,8
0,2014-08-24,E,E0,28,8
3,2014-08-24,E,E3,28,8
9,2014-08-29,V,V9,3,8
8,2014-08-30,V,V8,4,8
11,2014-09-04,E,E11,9,9
0,2014-09-06,E,E0,11,9
4,2014-09-06,E,E4,11,9
11,2014-09-06,V,V11,11,9
6,2014-09-10,E,E6,15,9
1,2014-09-17,E,E1,22,9
14,2014-09-17,V,V14,22,9
3,2014-09-24,E,E3,29,9
11,2014-09-25,E,E11,0,9
5,2014-09-25,E,E5,0,9
7,2014-09-27,V,V7,2,9
11,2014-10-01,E,E11,6,10
6,2014-10-06,V,V6,11,10
8,2014-10-07,E,E8,12,10
0,2014-10-08,E,E0,13,10
4,2014-10-09,E,E4,14,10
4,2014-10-09,E,E4,14,10
7,2014-10-11,E,E7,16,10
14,2014-10-14,E,E14,19,10
11,2014-10-28,E,E11,4,10
14,2014-10-29,V,V14,5,10
11,2014-11-01,E,E11,8,11
4,2014-11-01,E,E4,8,11
11,2014-11-02,E,E11,9,11
2,2014-11-03,E,E2,10,11
11,2014-11-07,E,E11,14,11
7,2014-11-11,V,V7,18,11
5,2014-11-12,V,V5,19,11
11,2014-11-13,E,E11,20,11
6,2014-11-15,E,E6,22,11
11,2014-11-16,E,E11,23,11
2,2014-11-17,E,E2,24,11
6,2014-11-21,E,E6,28,11
7,2014-11-22,E,E7,29,11
9,2014-11-23,V,V9,0,11
6,2014-11-26,E,E6,3,11
6,2014-12-02,E,E6,9,12
3,2014-12-02,V,V3,9,12
14,2014-12-06,E,E14,13,12
6,2014-12-06,E,E6,13,12
11,2014-12-07,E,E11,14,12
14,2014-12-07,E,E14,14,12
14,2014-12-08,E,E14,15,12
8,2014-12-10,E,E8,17,12
14,2014-12-15,V,V14,22,12
6,2014-12-18,V,V6,25,12
11,2014-12-19,V,V11,26,12
6,2014-12-21,E,E6,28,12
6,2014-12-29,E,E6,6,12
11,2014-12-30,E,E11,7,12
7,2015-01-01,V,V7,9,1
6,2015-01-06,V,V6,14,1
14,2015-01-07,E,E14,15,1
7,2015-01-19,V,V7,27,1
11,2015-01-23,E,E11,2,1
14,2015-01-26,V,V14,5,1
11,2015-01-28,E,E11,7,1
11,2015-01-30,E,E11,9,1
6,2015-02-01,V,V6,11,2
3,2015-02-02,E,E3,12,2
2,2015-02-04,V,V2,14,2
3,2015-02-11,E,E3,21,2
8,2015-02-13,E,E8,23,2
9,2015-02-13,E,E9,23,2
3,2015-02-16,E,E3,26,2
7,2015-02-16,E,E7,26,2
7,2015-02-16,V,V7,26,2
11,2015-02-18,E,E11,28,2
11,2015-02-19,E,E11,0,2
7,2015-02-20,E,E7,1,2
7,2015-02-21,E,E7,2,2
0,2015-02-22,E,E0,3,2
6,2015-02-27,E,E6,8,2
10,2015-03-03,E,E10,12,3
14,2015-03-08,V,V14,17,3
14,2015-03-10,E,E14,19,3
6,2015-03-15,E,E6,24,3
6,2015-03-17,E,E6,26,3
3,2015-03-17,V,V3,26,3
3,2015-03-18,E,E3,27,3
3,2015-03-23,E,E3,2,3
11,2015-03-29,E,E11,8,3
11,2015-03-30,E,E11,9,3
11,2015-03-30,E,E11,9,3
14,2015-04-06,V,V14,16,4
11,2015-04-07,E,E11,17,4
9,2015-04-16,E,E9,26,4
11,2015-04-17,E,E11,27,4
8,2015-04-20,E,E8,1,4
8,2015-04-20,E,E8,1,4
8,2015-04-20,E,E8,1,4
11,2015-04-22,E,E11,3,4
14,2015-04-22,V,V14,3,4
3,2015-04-22,V,V3,3,4
5,2015-04-23,V,V5,4,4
11,2015-04-24,E,E11,5,4
5,2015-04-24,E,E5,5,4
13,2015-04-25,E,E13,6,4
13,2015-04-25,E,E13,6,4
13,2015-04-25,E,E13,6,4
13,2015-04-26,E,E13,7,4
11,2015-04-28,E,E11,9,4
11,2015-04-30,E,E11,11,4
11,2015-05-01,E,E11,12,5
11,2015-05-01,E,E11,12,5
6,2015-05-01,V,V6,12,5
11,2015-05-03,E,E11,14,5
11,2015-05-05,E,E11,16,5
11,2015-05-07,E,E11,18,5
7,2015-05-10,E,E7,21,5
14,2015-05-11,V,V14,22,5
13,2015-05-12,E,E13,23,5
13,2015-05-12,E,E13,23,5
7,2015-05-12,E,E7,23,5
10,2015-05-15,E,E10,26,5
4,2015-05-19,E,E4,0,5
11,2015-05-20,E,E11,1,5
11,2015-05-20,E,E11,1,5
6,2015-05-20,V,V6,1,5
11,2015-05-22,E,E11,3,5
11,2015-05-22,E,E11,3,5
11,2015-05-24,E,E11,5,5
3,2015-05-24,E,E3,5,5
14,2015-05-25,V,V14,6,5
5,2015-05-29,E,E5,10,5
8,2015-05-29,V,V8,10,5
1,2015-05-30,E,E1,11,5
11,2015-05-30,E,E11,11,5
7,2015-05-30,E,E7,11,5
6,2015-06-04,E,E6,16,6
14,2015-06-06,V,V14,18,6
7,2015-06-08,E,E7,20,6
3,2015-06-10,E,E3,22,6
11,2015-06-12,E,E11,24,6
5,2015-06-14,V,V5,26,6
7,2015-06-16,V,V7,28,6
3,2015-06-17,E,E3,0,6
3,2015-06-20,E,E3,3,6
11,2015-06-21,E,E11,4,6
1,2015-06-23,E,E1,6,6
11,2015-06-25,E,E11,8,6
7,2015-06-29,V,V7,12,6
11,2015-06-30,E,E11,13,6
11,2015-07-01,E,E11,14,7
13,2015-07-03,E,E13,16,7
6,2015-07-03,E,E6,16,7
7,2015-07-07,E,E7,20,7
6,2015-07-07,V,V6,20,7
3,2015-07-09,V,V3,22,7
11,2015-07-10,E,E11,23,7
14,2015-07-16,E,E14,29,7
6,2015-07-16,V,V6,29,7
11,2015-07-18,E,E11,1,7
14,2015-07-23,V,V14,6,7
5,2015-07-27,E,E5,10,7
6,2015-07-27,E,E6,10,7
5,2015-07-29,E,E5,12,7
11,2015-08-06,E,E11,20,8
11,2015-08-10,E,E11,24,8
11,2015-08-12,E,E11,26,8
2,2015-08-13,E,E2,27,8
11,2015-08-15,E,E11,0,8
14,2015-08-15,V,V14,0,8
7,2015-08-28,V,V7,13,8
6,2015-08-30,V,V6,15,8
7,2015-09-01,E,E7,17,9
8,2015-09-03,V,V8,19,9
11,2015-09-07,E,E11,23,9
5,2015-09-10,E,E5,26,9
0,2015-09-13,E,E0,29,9
11,2015-09-16,E,E11,2,9
3,2015-09-16,E,E3,2,9
3,2015-09-16,E,E3,2,9
3,2015-09-16,E,E3,2,9
3,2015-09-16,E,E3,2,9
3,2015-09-16,E,E3,2,9
6,2015-09-16,E,E6,2,9
3,2015-09-17,E,E3,3,9
3,2015-09-17,E,E3,3,9
3,2015-09-17,E,E3,3,9
14,2015-09-18,E,E14,4,9
3,2015-09-18,E,E3,4,9
3,2015-09-19,E,E3,5,9
3,2015-09-19,E,E3,5,9
3,2015-09-21,E,E3,7,9
3,2015-09-21,E,E3,7,9
3,2015-09-22,E,E3,8,9
14,2015-09-23,V,V14,9,9
6,2015-09-24,E,E6,10,9
3,2015-09-26,E,E3,12,9
3,2015-09-30,V,V3,16,9
7,2015-10-02,V,V7,18,10
3,2015-10-06,V,V3,22,10
4,2015-10-11,E,E4,27,10
7,2015-10-14,E,E7,0,10
14,2015-10-17,V,V14,3,10
11,2015-10-18,E,E11,4,10
11,2015-10-20,E,E11,6,10
2,2015-10-23,E,E2,9,10
2,2015-10-23,E,E2,9,10
14,2015-10-23,V,V14,9,10
6,2015-10-25,V,V6,11,10
13,2015-10-26,E,E13,12,10
3,2015-10-30,V,V3,16,10
6,2015-11-04,E,E6,21,11
3,2015-11-07,E,E3,24,11
3,2015-11-07,E,E3,24,11
10,2015-11-08,E,E10,25,11
5,2015-11-09,E,E5,26,11
3,2015-11-11,E,E3,28,11
3,2015-11-11,E,E3,28,11
10,2015-11-12,V,V10,0,11
8,2015-11-13,E,E8,1,11
10,2015-11-14,V,V10,2,11
9,2015-11-17,E,E9,5,11
11,2015-11-18,E,E11,6,11
6,2015-11-21,E,E6,9,11
1,2015-11-24,E,E1,12,11
3,2015-11-24,E,E3,12,11
3,2015-11-24,E,E3,12,11
6,2015-11-24,V,V6,12,11
3,2015-11-26,E,E3,14,11
3,2015-11-27,E,E3,15,11
14,2015-12-01,V,V14,19,12
9,2015-12-02,V,V9,20,12
2,2015-12-04,E,E2,22,12
13,2015-12-07,E,E13,25,12
11,2015-12-09,E,E11,27,12
6,2015-12-09,E,E6,27,12
14,2015-12-11,V,V14,29,12
0,2015-12-17,E,E0,5,12
11,2015-12-19,E,E11,7,12
6,2015-12-20,E,E6,8,12
4,2015-12-24,E,E4,12,12
13,2015-12-25,E,E13,13,12
11,2016-01-01,E,E11,20,1
6,2016-01-02,V,V6,21,1
13,2016-01-03,E,E13,22,1
4,2016-01-05,E,E4,24,1
3,2016-01-08,V,V3,27,1
6,2016-01-11,E,E6,0,1
7,2016-01-11,E,E7,0,1
14,2016-01-12,V,V14,1,1
3,2016-01-14,E,E3,3,1
7,2016-01-14,E,E7,3,1
0,2016-01-21,E,E0,10,1
5,2016-01-24,E,E5,13,1
9,2016-01-25,E,E9,14,1
7,2016-01-30,E,E7,19,1
11,2016-01-31,E,E11,20,1
11,2016-02-01,E,E11,21,2
14,2016-02-02,V,V14,22,2
8,2016-02-05,E,E8,25,2
11,2016-02-08,E,E11,28,2
3,2016-02-10,E,E3,1,2
6,2016-02-12,E,E6,3,2
11,2016-02-15,E,E11,6,2
4,2016-02-16,E,E4,7,2
6,2016-02-17,E,E6,8,2
7,2016-02-21,V,V7,12,2
6,2016-02-22,V,V6,13,2
11,2016-02-27,E,E11,18,2
10,2016-03-02,E,E10,22,3
11,2016-03-03,V,V11,23,3
11,2016-03-04,V,V11,24,3
8,2016-03-04,V,V8,24,3
5,2016-03-12,E,E5,2,3
14,2016-03-19,E,E14,9,3
5,2016-03-19,E,E5,9,3
7,2016-03-20,E,E7,10,3
5,2016-03-27,V,V5,17,3
7,2016-03-29,V,V7,19,3
10,2016-03-31,V,V10,21,3
11,2016-04-01,E,E11,22,4
5,2016-04-02,E,E5,23,4
11,2016-04-02,V,V11,23,4
11,2016-04-03,E,E11,24,4
3,2016-04-03,V,V3,24,4
10,2016-04-06,E,E10,27,4
11,2016-04-06,E,E11,27,4
11,2016-04-07,E,E11,28,4
13,2016-04-10,E,E13,2,4
6,2016-04-13,E,E6,5,4
8,2016-04-13,E,E8,5,4
11,2016-04-14,E,E11,6,4
8,2016-04-14,E,E8,6,4
8,2016-04-14,E,E8,6,4
14,2016-04-15,E,E14,7,4
8,2016-04-15,E,E8,7,4
14,2016-04-16,E,E14,8,4
5,2016-04-16,V,V5,8,4
3,2016-04-19,E,E3,11,4
14,2016-04-20,E,E14,12,4
14,2016-04-20,E,E14,12,4
14,2016-04-22,E,E14,14,4
14,2016-04-22,V,V14,14,4
3,2016-04-24,V,V3,16,4
0,2016-04-27,E,E0,19,4
11,2016-04-27,V,V11,19,4
11,2016-04-28,E,E11,20,4
0,2016-04-29,E,E0,21,4
14,2016-05-18,E,E14,11,5
14,2016-05-18,E,E14,11,5
6,2016-05-20,E,E6,13,5
11,2016-05-27,E,E11,20,5
11,2016-05-28,E,E11,21,5
3,2016-05-28,E,E3,21,5
8,2016-05-31,E,E8,24,5
10,2016-06-01,E,E10,25,6
6,2016-06-05,E,E6,29,6
11,2016-06-06,E,E11,0,6
0,2016-06-07,E,E0,1,6
6,2016-06-07,E,E6,1,6
6,2016-06-09,E,E6,3,6
11,2016-06-10,E,E11,4,6
14,2016-06-10,E,E14,4,6
11,2016-06-14,E,E11,8,6
11,2016-06-19,E,E11,13,6
11,2016-06-20,E,E11,14,6
11,2016-06-21,E,E11,15,6
14,2016-06-21,E,E14,15,6
13,2016-06-26,E,E13,20,6
