cluster,mag,startday,startmonth,startyear,type,startdate
11,6.0,19,11,2000,E,2000-11-19
11,6.2,21,11,2000,E,2000-11-21
11,6.1,21,11,2000,E,2000-11-21
11,6.3,23,11,2000,E,2000-11-23
13,6.8,25,11,2000,E,2000-11-25
13,6.5,25,11,2000,E,2000-11-25
3,6.3,29,11,2000,E,2000-11-29
0,6.1,4,12,2000,E,2000-12-04
11,6.5,6,12,2000,E,2000-12-06
13,7.0,6,12,2000,E,2000-12-06
14,6.1,12,12,2000,E,2000-12-12
9,6.0,15,12,2000,E,2000-12-15
11,6.6,18,12,2000,E,2000-12-18
1,6.2,19,12,2000,E,2000-12-19
3,6.5,20,12,2000,E,2000-12-20
11,6.6,20,12,2000,E,2000-12-20
11,6.0,21,12,2000,E,2000-12-21
11,6.4,21,12,2000,E,2000-12-21
7,6.2,22,12,2000,E,2000-12-22
6,6.0,23,12,2000,E,2000-12-23
11,6.2,28,12,2000,E,2000-12-28
