cluster,mag,startday,startmonth,startyear,type,startdate
11,6.0,1,1,2000,E,2000-01-01
11,6.1,5,1,2000,E,2000-01-05
5,6.1,6,1,2000,E,2000-01-06
5,6.2,6,1,2000,E,2000-01-06
8,6.2,6,1,2000,E,2000-01-06
11,6.4,8,1,2000,E,2000-01-08
3,6.4,8,1,2000,E,2000-01-08
11,7.2,8,1,2000,E,2000-01-08
11,6.5,9,1,2000,E,2000-01-09
11,6.2,13,1,2000,E,2000-01-13
11,6.0,15,1,2000,E,2000-01-15
13,6.0,19,1,2000,E,2000-01-19
5,6.1,20,1,2000,E,2000-01-20
11,6.3,26,1,2000,E,2000-01-26
7,6.8,28,1,2000,E,2000-01-28
8,6.0,28,1,2000,E,2000-01-28
11,6.6,6,2,2000,E,2000-02-06
7,6.0,13,2,2000,E,2000-02-13
11,7.1,25,2,2000,E,2000-02-25
14,6.1,26,2,2000,E,2000-02-26
1,6.2,26,2,2000,E,2000-02-26
11,6.0,28,2,2000,E,2000-02-28
4,6.0,29,2,2000,E,2000-02-29
11,6.0,29,2,2000,E,2000-02-29
6,6.4,3,3,2000,E,2000-03-03
11,6.6,3,3,2000,E,2000-03-03
11,6.4,4,3,2000,E,2000-03-04
11,6.1,5,3,2000,E,2000-03-05
14,6.3,12,3,2000,E,2000-03-12
1,7.6,28,3,2000,E,2000-03-28
6,6.2,3,4,2000,E,2000-04-03
2,6.3,7,4,2000,E,2000-04-07
11,6.0,18,4,2000,E,2000-04-18
5,6.0,21,4,2000,E,2000-04-21
3,7.0,23,4,2000,E,2000-04-23
3,6.1,23,4,2000,E,2000-04-23
1,6.0,2,5,2000,E,2000-05-02
6,7.6,4,5,2000,E,2000-05-04
11,6.5,4,5,2000,E,2000-05-04
11,6.3,6,5,2000,E,2000-05-06
11,6.1,8,5,2000,E,2000-05-08
3,7.2,12,5,2000,E,2000-05-12
13,6.3,12,5,2000,E,2000-05-12
6,6.3,14,5,2000,E,2000-05-14
9,6.0,21,5,2000,E,2000-05-21
1,6.0,26,5,2000,E,2000-05-26
5,6.2,2,6,2000,E,2000-06-02
7,6.2,3,6,2000,E,2000-06-03
13,6.0,4,6,2000,E,2000-06-04
10,7.9,4,6,2000,E,2000-06-04
10,6.7,4,6,2000,E,2000-06-04
9,6.0,6,6,2000,E,2000-06-06
10,6.2,6,6,2000,E,2000-06-06
8,6.4,6,6,2000,E,2000-06-06
10,6.7,7,6,2000,E,2000-06-07
8,6.3,7,6,2000,E,2000-06-07
11,6.1,9,6,2000,E,2000-06-09
7,6.3,9,6,2000,E,2000-06-09
11,6.3,9,6,2000,E,2000-06-09
10,6.0,9,6,2000,E,2000-06-09
8,6.4,10,6,2000,E,2000-06-10
11,6.6,11,6,2000,E,2000-06-11
11,6.4,14,6,2000,E,2000-06-14
6,6.3,14,6,2000,E,2000-06-14
11,6.0,14,6,2000,E,2000-06-14
8,6.1,15,6,2000,E,2000-06-15
3,6.4,16,6,2000,E,2000-06-16
9,6.8,17,6,2000,E,2000-06-17
10,7.9,18,6,2000,E,2000-06-18
9,6.5,21,6,2000,E,2000-06-21
8,6.0,25,6,2000,E,2000-06-25
7,6.1,1,7,2000,E,2000-07-01
5,6.2,7,7,2000,E,2000-07-07
5,6.29,11,7,2000,E,2000-07-11
7,6.1,15,7,2000,E,2000-07-15
8,6.4,16,7,2000,E,2000-07-16
11,7.3,16,7,2000,E,2000-07-16
11,6.1,16,7,2000,E,2000-07-16
13,6.3,17,7,2000,E,2000-07-17
7,6.0,20,7,2000,E,2000-07-20
14,6.4,21,7,2000,E,2000-07-21
7,6.5,30,7,2000,E,2000-07-30
11,6.2,31,7,2000,E,2000-07-31
11,6.2,31,7,2000,E,2000-07-31
11,6.6,3,8,2000,E,2000-08-03
7,6.8,4,8,2000,E,2000-08-04
1,7.4,6,8,2000,E,2000-08-06
6,6.5,7,8,2000,E,2000-08-07
11,6.4,9,8,2000,E,2000-08-09
0,6.5,9,8,2000,E,2000-08-09
11,6.3,9,8,2000,E,2000-08-09
6,6.0,12,8,2000,E,2000-08-12
11,6.0,14,8,2000,E,2000-08-14
11,6.6,15,8,2000,E,2000-08-15
3,6.1,21,8,2000,E,2000-08-21
6,6.8,28,8,2000,E,2000-08-28
6,6.1,28,8,2000,E,2000-08-28
6,6.0,28,8,2000,E,2000-08-28
6,6.3,28,8,2000,E,2000-08-28
10,6.0,1,9,2000,E,2000-09-01
11,6.0,2,9,2000,E,2000-09-02
6,6.1,10,9,2000,E,2000-09-10
11,6.3,11,9,2000,E,2000-09-11
8,6.1,12,9,2000,E,2000-09-12
10,6.0,12,9,2000,E,2000-09-12
11,6.2,14,9,2000,E,2000-09-14
10,6.2,22,9,2000,E,2000-09-22
11,6.4,26,9,2000,E,2000-09-26
14,6.4,28,9,2000,E,2000-09-28
2,6.5,2,10,2000,E,2000-10-02
7,6.3,3,10,2000,E,2000-10-03
14,6.2,4,10,2000,E,2000-10-04
11,7.0,4,10,2000,E,2000-10-04
14,6.1,5,10,2000,E,2000-10-05
6,6.1,5,10,2000,E,2000-10-05
7,6.7,6,10,2000,E,2000-10-06
11,6.3,21,10,2000,E,2000-10-21
3,6.0,21,10,2000,E,2000-10-21
10,6.8,25,10,2000,E,2000-10-25
4,6.1,25,10,2000,E,2000-10-25
4,6.0,25,10,2000,E,2000-10-25
1,6.1,27,10,2000,E,2000-10-27
11,7.0,29,10,2000,E,2000-10-29
6,6.0,30,10,2000,E,2000-10-30
11,6.2,31,10,2000,E,2000-10-31
11,6.1,1,11,2000,E,2000-11-01
3,6.8,7,11,2000,E,2000-11-07
11,6.2,7,11,2000,E,2000-11-07
14,6.5,8,11,2000,E,2000-11-08
7,6.0,13,11,2000,E,2000-11-13
11,8.0,16,11,2000,E,2000-11-16
11,6.0,16,11,2000,E,2000-11-16
11,7.8,16,11,2000,E,2000-11-16
11,6.5,16,11,2000,E,2000-11-16
11,6.2,16,11,2000,E,2000-11-16
11,7.8,17,11,2000,E,2000-11-17
11,6.6,18,11,2000,E,2000-11-18
11,6.8,18,11,2000,E,2000-11-18
11,6.1,18,11,2000,E,2000-11-18
11,6.1,19,11,2000,E,2000-11-19
