cluster,mag,startday,startmonth,startyear,type,startdate
4,6.0,1,1,2002,E,2002-01-01
6,6.3,1,1,2002,E,2002-01-01
11,6.2,2,1,2002,E,2002-01-02
11,7.2,2,1,2002,E,2002-01-02
13,6.2,3,1,2002,E,2002-01-03
11,6.6,3,1,2002,E,2002-01-03
6,6.7,10,1,2002,E,2002-01-10
11,6.4,13,1,2002,E,2002-01-13
11,6.2,15,1,2002,E,2002-01-15
11,6.0,15,1,2002,E,2002-01-15
10,6.1,15,1,2002,E,2002-01-15
0,6.4,16,1,2002,E,2002-01-16
9,6.2,22,1,2002,E,2002-01-22
7,6.1,28,1,2002,E,2002-01-28
11,6.2,28,1,2002,E,2002-01-28
11,6.0,30,1,2002,E,2002-01-30
9,6.0,3,2,2002,E,2002-02-03
9,6.5,3,2,2002,E,2002-02-03
11,6.6,5,2,2002,E,2002-02-05
4,6.0,15,2,2002,E,2002-02-15
11,6.1,19,2,2002,E,2002-02-19
11,6.3,28,2,2002,E,2002-02-28
13,6.3,3,3,2002,E,2002-03-03
13,7.4,3,3,2002,E,2002-03-03
6,7.5,5,3,2002,E,2002-03-05
6,6.0,8,3,2002,E,2002-03-08
3,6.0,9,3,2002,E,2002-03-09
2,6.0,17,3,2002,E,2002-03-17
6,6.1,19,3,2002,E,2002-03-19
13,6.1,25,3,2002,E,2002-03-25
8,6.4,26,3,2002,E,2002-03-26
3,6.5,28,3,2002,E,2002-03-28
8,7.1,31,3,2002,E,2002-03-31
11,6.2,7,4,2002,E,2002-04-07
11,6.2,8,4,2002,E,2002-04-08
11,6.2,11,4,2002,E,2002-04-11
0,6.8,18,4,2002,E,2002-04-18
3,6.7,18,4,2002,E,2002-04-18
11,6.0,20,4,2002,E,2002-04-20
4,6.2,24,4,2002,E,2002-04-24
1,7.1,26,4,2002,E,2002-04-26
11,6.2,8,5,2002,E,2002-05-08
2,6.2,14,5,2002,E,2002-05-14
8,6.2,15,5,2002,E,2002-05-15
3,6.0,23,5,2002,E,2002-05-23
5,6.4,25,5,2002,E,2002-05-25
3,6.0,28,5,2002,E,2002-05-28
8,6.1,28,5,2002,E,2002-05-28
11,6.3,6,6,2002,E,2002-06-06
1,6.1,10,6,2002,E,2002-06-10
2,6.6,13,6,2002,E,2002-06-13
14,6.4,16,6,2002,E,2002-06-16
4,6.0,17,6,2002,E,2002-06-17
11,6.7,17,6,2002,E,2002-06-17
3,6.6,18,6,2002,E,2002-06-18
11,6.0,21,6,2002,E,2002-06-21
13,6.5,22,6,2002,E,2002-06-22
10,6.5,27,6,2002,E,2002-06-27
11,6.0,27,6,2002,E,2002-06-27
7,7.3,28,6,2002,E,2002-06-28
11,6.2,29,6,2002,E,2002-06-29
11,6.5,30,6,2002,E,2002-06-30
11,6.2,3,7,2002,E,2002-07-03
4,6.1,19,7,2002,E,2002-07-19
3,6.2,30,7,2002,E,2002-07-30
14,6.5,31,7,2002,E,2002-07-31
7,6.3,2,8,2002,E,2002-08-02
3,6.0,4,8,2002,E,2002-08-04
14,6.0,7,8,2002,E,2002-08-07
11,6.1,9,8,2002,E,2002-08-09
11,6.0,12,8,2002,E,2002-08-12
1,6.3,14,8,2002,E,2002-08-14
1,6.5,14,8,2002,E,2002-08-14
6,6.2,15,8,2002,E,2002-08-15
11,7.7,19,8,2002,E,2002-08-19
11,7.7,19,8,2002,E,2002-08-19
11,6.1,19,8,2002,E,2002-08-19
7,6.3,20,8,2002,E,2002-08-20
7,6.1,24,8,2002,E,2002-08-24
13,6.0,1,9,2002,E,2002-09-01
9,6.0,6,9,2002,E,2002-09-06
11,6.0,7,9,2002,E,2002-09-07
11,6.0,8,9,2002,E,2002-09-08
6,7.6,8,9,2002,E,2002-09-08
10,6.5,13,9,2002,E,2002-09-13
7,6.4,15,9,2002,E,2002-09-15
6,6.3,16,9,2002,E,2002-09-16
6,6.0,17,9,2002,E,2002-09-17
6,6.0,20,9,2002,E,2002-09-20
6,6.4,20,9,2002,E,2002-09-20
3,6.3,24,9,2002,E,2002-09-24
11,6.1,24,9,2002,E,2002-09-24
11,6.3,24,9,2002,E,2002-09-24
11,6.3,24,9,2002,E,2002-09-24
6,6.0,3,10,2002,E,2002-10-03
0,6.5,3,10,2002,E,2002-10-03
11,6.3,4,10,2002,E,2002-10-04
6,6.3,6,10,2002,E,2002-10-06
2,6.0,8,10,2002,E,2002-10-08
