cluster,mag,startday,startmonth,startyear,type,startdate
6,6.0,10,10,2002,E,2002-10-10
6,7.6,10,10,2002,E,2002-10-10
6,6.7,10,10,2002,E,2002-10-10
6,6.0,10,10,2002,E,2002-10-10
8,6.1,12,10,2002,E,2002-10-12
14,6.9,12,10,2002,E,2002-10-12
11,6.1,13,10,2002,E,2002-10-13
7,6.1,14,10,2002,E,2002-10-14
7,6.2,16,10,2002,E,2002-10-16
11,6.0,16,10,2002,E,2002-10-16
11,6.2,17,10,2002,E,2002-10-17
6,6.3,17,10,2002,E,2002-10-17
4,6.1,18,10,2002,E,2002-10-18
6,6.0,19,10,2002,E,2002-10-19
7,6.3,19,10,2002,E,2002-10-19
11,6.2,22,10,2002,E,2002-10-22
5,6.36,23,10,2002,E,2002-10-23
9,6.2,24,10,2002,E,2002-10-24
11,6.1,31,10,2002,E,2002-10-31
10,7.4,2,11,2002,E,2002-11-02
10,6.3,2,11,2002,E,2002-11-02
5,7.9,3,11,2002,E,2002-11-03
7,6.4,3,11,2002,E,2002-11-03
5,6.6,7,11,2002,E,2002-11-07
14,6.0,9,11,2002,E,2002-11-09
3,6.2,12,11,2002,E,2002-11-12
3,6.6,15,11,2002,E,2002-11-15
7,7.3,17,11,2002,E,2002-11-17
13,6.3,20,11,2002,E,2002-11-20
5,6.1,26,11,2002,E,2002-11-26
4,6.0,10,12,2002,E,2002-12-10
11,6.1,10,12,2002,E,2002-12-10
6,6.3,11,12,2002,E,2002-12-11
11,6.7,12,12,2002,E,2002-12-12
3,6.2,17,12,2002,E,2002-12-17
3,6.1,18,12,2002,E,2002-12-18
11,6.3,20,12,2002,E,2002-12-20
14,6.0,23,12,2002,E,2002-12-23
6,6.3,30,12,2002,E,2002-12-30
