,”long","lat","clust"
"600192",167.359,-14.1797,12
"600193",153.4388,-5.8333,12
"600194",120.2448,20.2572,9
"600195",126.5183,5.4961,7
"600196",-178.0356,-32.0882,5
"600197",-178.0285,-32.0184,5
"600198",-177.0832,-30.2905,5
"600199",143.73,30.3306,8
"600200",147.1611,16.8618,2
"600201",77.0948,38.1721,14
"600202",93.2393,12.9416,11
"600203",-82.5212,6.4125,15
"600204",153.071,46.7989,8
"600205",68.4515,-2.788,3
"600206",-98.4749,36.52,1
"600207",96.1483,51.8151,14
"600208",95.3332,24.7918,9
"600209",-172.4185,51.1616,13
"600210",-173.8221,51.4283,13
"600211",170.5493,-14.5734,12
"600212",179.6545,52.0658,13
"600213",125.9512,3.277,7
"600214",128.9574,-7.8664,7
"600215",140.2538,27.6613,2
"600216",171.7538,-22.3792,5
"600217",-69.408,-19.026,4
"600218",-162.379,54.182,13
"600219",113.9908,-8.2434,7
"600220",-122.1492,49.004,6
"600221",-65.044,18.6898,15
"600222",-73.0116,6.8078,15
"600223",-165.0589,53.9495,13
"600224",-159.787,55.1843,6
"600225",-70.688,-33.417,4
"600226",152.6959,-5.965,12
"600227",142.1446,38.7375,8
"600228",43.6255,-41.0586,3
"600229",-178.0987,-32.2075,5
"600230",120.6844,17.972,9
"600231",120.6779,17.8462,9
"600232",-104.9068,21.0645,1
"600233",139.8943,34.989,8
"600234",26.6526,45.6957,10
"600235",-69.8589,-27.1773,4
"600236",-69.557,-19.47,4
"600237",-70.79,-26.916,4
"600238",78.1875,37.4832,14
"600239",-102.8307,18.4592,1
"600240",-66.263,18.0617,15
"600241",178.4823,51.8689,13
"600242",-27.5055,-56.5119,4
"600243",-173.882,51.2813,13
"600244",-143.976,70.25,6
"600245",151.5249,-5.8974,12
"600246",-178.2445,-31.9382,5
"600247",-179.3564,-35.5328,5
"600248",-179.4202,-35.3098,5
"600249",-71.76,-31.581,4
"600250",153.7116,-4.4845,12
"600251",155.3124,-6.7836,12
"600252",70.6298,36.5012,14
"600253",151.9166,-5.4327,12
"600254",151.5402,-5.8586,12
"600255",-150.802,62.1317,6
"600256",-150.789,62.13,6
"600257",26.5635,38.2475,10
"600258",74.1194,38.1323,14
"600259",122.493,23.793,9
"600260",-178.399,-18.1468,5
"600261",126.1916,1.4038,7
"600262",-69.245,-20.909,4
"600263",-142.1098,-56.6001,5
"600264",70.8065,36.5507,14
"600265",-170.4595,51.9898,13
"600266",169.7094,-44.3916,5
"600267",-65.852,18.8145,15
"600268",-97.3762,35.7446,1
"600269",71.7083,40.3764,14
"600270",-71.513,-30.911,4
"600271",155.1981,46.8343,8
"600272",58.8239,-31.2333,3
"600273",156.0374,49.2299,8
"600274",-71.7295,-13.8479,4
"600275",-65.3137,18.6367,15
"600276",-69.7693,-17.2503,4
"600277",-179.4456,-35.5757,5
"600278",139.8922,36.053,8
"600279",143.1785,13.0204,2
"600280",129.3561,-7.1248,7
"600281",-109.4007,-9.495,1
"600282",-26.222,-59.6373,4
"600283",151.3918,-5.1974,12
"600284",-80.5155,-7.1796,15
"600285",152.6382,46.6382,8
"600286",-174.5001,-20.7139,5
"600287",-174.5707,-20.7066,5
"600288",-174.4104,-20.7544,5
"600289",-64.6682,18.8205,15
"600290",19.3792,42.3692,10
"600291",-111.5852,27.6916,1
"600292",168.5175,-18.4778,12
"600293",-85.6436,11.2858,15
"600294",-173.5457,-15.0832,5
"600295",-94.9248,16.9648,1
"600296",-179.6189,-35.3683,5
"600297",85.6886,27.9368,14
"600298",120.2752,20.5849,9
"600299",151.5099,-4.34,12
"600300",-64.516,19.1149,15
"600301",165.7544,-10.8972,12
"600302",-74.31,-16.07,4
"600303",20.8681,37.404,10
"600304",149.3948,-6.0326,12
"600305",-173.9854,-21.1456,5
"600306",77.8771,37.6574,14
"600307",-24.7155,-57.3391,4
"600308",142.8418,-4.6688,7
"600309",-179.985,-24.3137,5
"600310",21.4041,36.1107,10
"600311",19.3946,42.381,10
"600312",-68.6132,18.2592,15
"600313",128.5951,1.7963,7
"600314",-179.5203,-24.0098,5
"600315",-178.6941,-17.5855,5
"600316",153.8044,-4.843,12
"600317",-179.243,51.14,13
"600318",154.1826,-4.8031,12
"600319",-64.8425,19.1757,15
"600320",123.0784,-0.4034,7
"600321",127.6944,-7.5411,7
"600322",-73.8606,-16.2401,4
"600323",20.67,38.39,10
"600324",-91.2276,14.2258,15
"600325",147.9748,43.9097,8
"600326",-179.6208,-35.4246,5
"600327",-167.483,52.202,13
"600328",-179.7237,-35.4058,5
"600329",162.7358,-11.0868,12
"600330",-179.1258,-35.7344,5
"600331",-111.6323,-13.329,1
"600332",70.2106,36.5342,14
"600333",152.3372,-5.4916,12
"600334",-67.282,18.3073,15
"600335",81.733,29.6068,14
"600336",150.1064,-5.7753,12
"600337",-174.0126,-21.1184,5
"600338",-75.079,46.312,1
"600339",-97.3747,35.7443,1
"600340",-179.9157,-24.6612,5
"600341",114.0056,55.3093,8
"600342",-178.2754,-31.6869,5
"600343",-70.22,-33.3711,4
"600344",151.7659,-6.1463,12
"600345",-133.5965,-53.9438,5
"600346",110.1446,55.9854,8
"600347",147.5635,-6.183,12
"600348",140.0386,-52.1598,5
"600349",161.6957,-10.2943,12
"600350",-108.1258,18.9609,1
"600351",126.3221,1.5271,7
"600352",-111.3022,-13.3864,4
"600353",126.5108,1.8056,7
"600354",151.4994,-5.7165,12
"600355",-178.3681,-20.8795,5
"600356",178.4828,-26.5135,5
"600357",-111.639,-13.7272,4
"600358",-178.6196,-21.2165,5
"600359",-177.6679,-20.181,5
"600360",-120.6367,34.0953,1
"600361",-176.7714,-19.0895,5
"600362",-177.1329,-22.9379,5
"600363",-179.1311,-23.0217,5
"600364",144.7001,20.8624,2
"600365",152.0734,-6.1174,12
"600366",69.831,37.0193,14
"600367",-70.719,-18.68,4
"600368",139.2462,-2.165,7
"600369",94.7348,4.9946,11
"600370",52.6765,-36.1693,3
"600371",-97.8828,36.8427,1
"600372",-94.822,16.73,1
"600373",-179.4391,-35.395,5
"600374",49.376,32.349,14
"600375",34.7315,28.7532,10
"600376",77.8,40.0882,14
"600377",-178.1847,-29.6751,5
"600378",-101.558,18.525,1
"600379",143.354,27.1641,2
"600380",-28.9661,-59.5112,4
"600381",153.6648,-4.5215,12
"600382",141.7001,33.8125,8
"600383",-29.1137,-59.5804,4
"600384",16.057,51.5885,10
"600385",-29.5345,-59.5285,4
"600386",-23.494,-58.9043,4
"600387",-64.7508,19.0068,15
"600388",-29.0804,-59.4836,4
"600389",-93.548,15.897,15
"600390",147.8099,-5.939,12
"600391",178.3586,-26.0991,5
"600392",-29.3933,-59.5205,4
"600393",126.0434,9.9616,7
"600394",127.0704,1.1158,7
"600395",125.8416,2.9307,7
"600396",-68.578,-21.877,4
"600397",-157.578,56.782,6
"600398",142.4959,38.6423,8
"600399",154.0672,-4.8556,12
"600400",-179.4499,-35.4493,5
"600401",126.0858,4.2128,7
"600402",-173.975,51.3323,13
"600403",-6.7166,81.9292,6
"600404",-68.5895,18.1023,15
"600405",-98.2713,15.9709,1
"600406",-97.3835,35.7412,1
"600407",147.2967,-5.6646,12
"600408",-73.4411,-36.0043,4
"600409",-84.5979,1.707,15
"600410",-84.4945,1.4226,15
"600411",-172.8242,-15.428,5
"600412",65.7041,27.3819,14
"600413",148.0448,44.4768,8
"600414",160.8478,55.8414,13
"600415",162.0791,-10.0712,12
"600416",29.5202,37.6097,10
"600417",-25.2808,-58.7061,4
"600418",81.1399,35.8218,14
"600419",149.2202,-5.9542,12
"600420",46.2207,12.0756,14
"600421",46.5731,11.9429,14
"600422",74.1123,34.6941,14
"600423",-179.9347,-23.8833,5
"600424",108.0694,-9.9112,11
"600425",163.9393,-49.8803,5
"600426",-97.0947,35.6663,1
"600427",-61.9129,16.8446,15
"600428",-177.1524,-18.6298,5
"600429",142.6028,40.1226,8
"600430",-152.026,60.263,6
"600431",153.3652,-4.3107,12
"600432",27.0428,36.833,10
"600433",127.0919,1.0984,7
"600434",-90.2411,13.3053,15
"600435",25.617,-52.9278,3
"600436",177.5989,-37.0246,5
"600437",-90.3167,13.21,15
"600438",-179.6828,-35.6465,5
"600439",179.9281,-35.7361,5
"600440",139.8451,36.076,8
"600441",53.3349,-36.34,3
"600442",-34.4834,52.3422,10
"600443",-75.83,-9.11,15
"600444",-75.5245,-9.2267,15
"600445",141.4646,40.3631,8
"600446",105.8747,-8.0402,11
"600447",112.5217,-8.5802,11
"600448",-27.1335,-56.085,4
"600449",177.8708,-37.352,5
"600450",145.0335,20.7727,2
"600451",122.5375,23.7392,9
"600452",81.9042,32.8153,14
"600453",74.1631,41.0983,14
"600454",-34.8002,52.8122,10
"600455",94.1447,27.4318,9
"600456",-110.9674,26.9148,1
"600457",114.9152,-9.8969,7
"600458",165.6523,-47.9753,5
"600459",147.7315,44.3942,8
"600460",93.3583,5.6469,11
"600461",126.0781,9.1399,7
"600462",-122.7903,38.8082,1
"600463",86.291,41.9479,14
"600464",158.4027,-9.3012,12
"600465",158.1882,-9.2417,12
"600466",158.4014,-9.1752,12
"600467",158.423,-9.5184,12
"600468",158.5724,-9.2953,12
"600469",145.4514,18.9799,2
"600470",-177.9296,-18.2283,5
"600471",158.5641,-9.3195,12
"600472",-64.3525,18.858,15
"600473",158.4772,-9.3175,12
"600474",102.1201,-4.131,11
"600475",104.6328,-4.6517,11
"600476",154.5958,-7.1972,12
"600477",129.2769,-6.8704,7
"600478",158.4659,-9.2056,12
"600479",151.167,-3.5132,12
"600480",120.47,23.22,9
"600481",-98.4682,36.5222,1
"600482",143.2211,39.7935,8
"600483",129.3818,-4.4946,7
"600484",-83.1195,8.6256,15
"600485",90.5991,26.6628,14
"600486",158.5416,-9.3743,12
"600487",124.4223,-0.1176,7
"600488",-27.0492,-55.3711,4
"600489",162.7363,-9.8198,12
"600490",121.1906,2.1075,7
"600491",-173.3888,-18.5395,5
"600492",142.4294,25.1545,2
"600493",164.6479,56.0487,13
"600494",-178.9951,-32.3799,5
"600495",25.8727,-52.8839,3
"600496",127.0548,7.2078,7
"600497",124.8903,-7.2543,7
"600498",-91.0803,14.0066,15
"600499",86.0836,27.7297,14
"600500",-98.2852,36.662,1
"600501",-177.6299,-17.3529,5
"600502",-171.6454,51.7087,13
"600503",-96.912,15.63,1
"600504",178.4158,51.7975,13
"600505",70.9983,36.6584,14
"600506",-77.989,7.2988,15
"600507",-97.5168,36.2891,1
"600508",-97.523,36.294,1
"600509",153.5988,-4.9294,12
"600510",153.7967,-4.9981,12
"600511",170.3519,52.2667,13
"600512",153.6208,-5.0805,12
"600513",126.7384,23.6848,9
"600514",70.6885,36.4308,14
"600515",142.4882,42.4295,8
"600516",152.4838,-5.4432,12
"600517",-45.5166,13.7687,15
"600518",152.2083,-5.3213,12
"600519",-173.4522,-15.2168,5
"600520",-65.3512,18.9945,15
"600521",-178.4694,-17.9378,5
"600522",-97.1049,36.0247,1
"600523",-114.3303,31.4963,1
"600524",-114.34,31.481,1
"600525",-65.6428,19.5082,15
"600526",129.1658,-7.3274,7
"600527",148.051,43.8727,8
"600528",-178.1983,-20.4037,5
"600529",-68.647,-21.787,4
"600530",131.0065,-5.7227,7
"600531",146.2175,18.7315,2
"600532",158.7099,-9.5437,12
"600533",-79.0226,-2.2982,15
"600534",-173.7714,51.1882,13
"600535",44.754,35.753,14
"600536",128.3247,25.9708,9
"600537",-169.342,52.168,13
"600538",-83.1583,8.5564,15
"600539",-90.6739,13.8456,15
"600540",-98.4653,36.5264,1
"600541",126.5438,3.4961,7
"600542",130.7527,-6.2313,7
"600543",-148.9582,62.3401,6
"600544",-80.6193,-3.8519,15
"600545",140.9734,33.1961,8
"600546",-93.756,14.702,15
"600547",46.05,-40.1047,3
"600548",135.4664,-3.4699,7
"600549",-63.9893,19.9335,15
"600550",124.8026,-7.0674,7
"600551",158.0519,-9.5634,12
"600552",158.0794,-9.6358,12
"600553",128.1869,2.9918,7
"600554",-65.192,19.2875,15
"600555",-71.16,-32.085,4
"600556",-176.2096,-21.1487,5
"600557",-178.182,-17.7109,5
"600558",28.36,36.9718,10
"600559",-93.797,14.571,15
"600560",-75.5919,-2.9616,15
"600561",177.808,-16.637,5
"600562",-28.6559,-55.4146,4
"600563",143.1637,28.7258,2
"600564",147.4637,-5.9091,12
"600565",146.7653,-7.3241,12
"600566",-84.5062,2.6312,15
