Latitude,Longitude,VEI,cluster,depth,mag,startdate,type,sequence,scale
-5.079,154.227,,11,409.0,6.0,1972-04-28,E,E11,
46.47,151.28,0,7,,,1972-04-29,V,V7,
-15.919,167.511,,11,45.0,6.8,1972-05-04,E,E11,
35.124,23.612,,9,46.0,6.3,1972-05-04,E,E9,
-4.162,152.678,,11,32.0,6.6,1972-05-05,E,E11,
-53.713,-134.214,,4,33.0,6.3,1972-05-07,E,E4,
-17.689,-175.189,,11,227.0,6.2,1972-05-22,E,E11,
16.599,122.29,,8,34.0,6.9,1972-05-22,E,E8,
-11.023,117.059,,6,33.0,6.3,1972-05-28,E,E6,
-0.37,-91.55,0,14,,,1972-06-04,V,V14,
-30.458,-71.799,,3,39.0,6.6,1972-06-08,E,E3,
-21.244,55.708,2,2,,,1972-06-09,V,V2,
-6.102,105.423,2,10,,,1972-06-10,V,V10,
50.861,155.565,3,7,,,1972-06-18,V,V7,
36.23,69.671,,13,47.0,6.1,1972-06-24,E,E13,
0.792,-86.15,0,14,,,1972-06-29,V,V14,
-0.077,-77.656,2,14,,,1972-07-01,V,V14,
-17.662,-148.586,0,4,,,1972-07-04,V,V4,
12.3,-61.64,0,14,,,1972-07-05,V,V14,
50.149,-129.273,,5,33.0,6.4,1972-07-23,E,E5,
-4.639,152.297,,11,16.0,6.0,1972-07-30,E,E11,
56.82,-135.685,,5,25.0,7.6,1972-07-30,E,E5,
51.199,-178.119,,5,49.0,6.2,1972-08-03,E,E5,
-11.239,162.052,,11,34.0,6.0,1972-08-04,E,E11,
-11.109,162.034,,11,36.0,6.1,1972-08-04,E,E11,
-11.179,162.13,,11,33.0,6.1,1972-08-05,E,E11,
-11.23,161.928,,11,33.0,6.1,1972-08-05,E,E11,
-16.647,-172.099,,11,33.0,6.0,1972-08-07,E,E11,
-5.962,152.902,,11,10.0,7.1,1972-08-17,E,E11,
-6.019,152.64,,11,8.0,6.0,1972-08-18,E,E11,
-5.19,134.054,,6,33.0,6.1,1972-08-19,E,E6,
-41.326,-72.614,2,3,,,1972-08-26,V,V3,
-21.26,-174.529,,11,33.0,6.0,1972-08-28,E,E11,
-3.478,144.934,,11,13.0,6.4,1972-08-30,E,E11,
29.365,130.542,,8,41.0,6.1,1972-09-02,E,E8,
30.443,130.217,2,8,,,1972-09-02,V,V8,
-5.552,151.277,,11,45.0,6.2,1972-09-03,E,E11,
35.979,73.417,,13,36.0,6.3,1972-09-03,E,E13,
-11.68,166.241,,11,62.0,6.0,1972-09-04,E,E11,
-19.877,169.002,,11,52.0,6.1,1972-09-05,E,E11,
1.876,128.169,,6,132.0,6.1,1972-09-05,E,E6,
-11.75,43.38,1,2,,,1972-09-08,V,V2,
-15.368,-175.673,,11,35.0,6.1,1972-09-09,E,E11,
-20.2,168.8,,11,39.0,6.2,1972-09-10,E,E11,
-3.243,130.763,,6,33.0,6.0,1972-09-11,E,E6,
-20.371,168.844,,11,35.0,6.6,1972-09-13,E,E11,
37.928,22.387,,9,83.0,6.0,1972-09-13,E,E9,
15.244,-96.229,,0,33.0,6.0,1972-09-16,E,E0,
38.283,20.34,,9,33.0,6.3,1972-09-17,E,E9,
19.536,-70.148,,14,33.0,6.1,1972-09-19,E,E14,
22.331,121.197,,8,33.0,6.2,1972-09-22,E,E8,
22.319,121.355,,8,33.0,6.1,1972-09-23,E,E8,
-6.282,131.219,,6,33.0,6.9,1972-09-24,E,E6,
-16.468,-172.166,,11,33.0,6.0,1972-09-27,E,E11,
7.468,123.749,,6,613.0,6.0,1972-10-01,E,E6,
-7.542,110.442,2,10,,,1972-10-06,V,V10,
-5.519,148.115,1,11,,,1972-10-09,V,V11,
-8.587,124.917,,6,33.0,6.3,1972-10-18,E,E6,
18.781,-106.727,,0,38.0,6.5,1972-10-20,E,E0,
-39.28,175.57,1,11,,,1972-10-22,V,V11,
-8.32,121.708,3,6,,,1972-10-22,V,V6,
-9.02,157.95,0,11,,,1972-10-24,V,V11,
27.444,128.538,,8,47.0,6.0,1972-10-26,E,E8,
-19.95,168.898,,11,39.0,6.2,1972-10-27,E,E11,
-7.325,146.664,,11,2.0,6.0,1972-10-28,E,E11,
-30.216,60.688,,2,33.0,6.1,1972-10-29,E,E2,
-6.331,154.797,,11,50.0,6.2,1972-10-30,E,E11,
-20.049,168.839,,11,32.0,7.0,1972-11-02,E,E11,
-8.19,112.337,,10,126.0,6.0,1972-11-04,E,E10,
-20.164,168.879,,11,21.0,6.1,1972-11-04,E,E11,
23.885,121.581,,8,33.0,6.1,1972-11-09,E,E8,
38.424,73.284,,13,33.0,6.0,1972-11-12,E,E13,
14.501,-90.876,1,14,,,1972-11-12,V,V14,
15.575,-94.984,,0,33.0,6.5,1972-11-13,E,E0,
-6.503,154.25,,11,34.0,6.4,1972-11-21,E,E11,
-39.157,175.632,3,11,,,1972-11-22,V,V11,
-77.53,167.17,2,2,,,1972-12-01,V,V2,
6.473,126.601,,6,33.0,7.4,1972-12-02,E,E6,
-1.523,136.679,,6,33.0,6.0,1972-12-04,E,E6,
33.326,140.684,,7,66.0,6.6,1972-12-04,E,E7,
-2.995,139.14,,6,33.0,6.0,1972-12-06,E,E6,
44.774,149.393,,7,13.0,6.0,1972-12-10,E,E7,
-15.984,-172.416,,11,33.0,6.0,1972-12-22,E,E11,
-55.396,-28.172,,3,33.0,6.4,1972-12-22,E,E3,
-7.203,127.699,,6,108.0,6.0,1972-12-22,E,E6,
12.357,-86.119,,14,5.0,6.2,1972-12-23,E,E14,
76.786,-107.038,,5,33.0,6.0,1972-12-27,E,E5,
-30.556,-71.021,,3,60.0,6.0,1972-12-29,E,E3,
-35.513,-16.211,,3,33.0,6.0,1973-01-01,E,E3,
45.012,147.871,1,7,,,1973-01-01,V,V7,
32.884,131.104,2,8,,,1973-01-01,V,V8,
-38.997,175.232,,11,150.0,6.2,1973-01-05,E,E11,
-14.665,166.384,,11,36.0,6.1,1973-01-06,E,E11,
1.112,124.737,2,6,,,1973-01-06,V,V6,
71.087,-8.146,1,9,,,1973-01-15,V,V9,
-6.868,149.993,,11,43.0,6.8,1973-01-18,E,E11,
18.601,-104.967,,0,33.0,6.1,1973-01-22,E,E0,
63.416,-20.266,3,9,,,1973-01-23,V,V9,
-4.03,103.13,2,10,,,1973-01-24,V,V10,
-0.115,123.931,,6,55.0,6.0,1973-01-27,E,E6,
18.481,-102.996,,0,43.0,7.5,1973-01-30,E,E0,
28.206,139.227,,1,498.0,6.0,1973-01-31,E,E1,
-22.655,-66.195,,3,229.0,6.1,1973-02-01,E,E3,
36.406,138.523,2,7,,,1973-02-01,V,V7,
31.398,100.581,,8,33.0,7.4,1973-02-06,E,E8,
-45.475,96.288,,2,33.0,6.1,1973-02-08,E,E2,
-30.387,-177.509,,11,29.0,6.3,1973-02-14,E,E11,
-38.12,176.5,1,11,,,1973-02-22,V,V11,
14.473,-90.88,2,14,,,1973-02-23,V,V14,
-19.194,168.74,,11,59.0,6.0,1973-02-24,E,E11,
-5.525,148.42,3,11,,,1973-02-24,V,V11,
-61.037,-37.881,,3,33.0,6.4,1973-02-25,E,E3,
50.486,156.584,,7,27.0,7.2,1973-02-28,E,E7,
54.134,-165.986,2,5,,,1973-03-01,V,V5,
54.828,161.599,,7,32.0,6.1,1973-03-04,E,E7,
6.274,127.336,,6,55.0,6.0,1973-03-09,E,E6,
50.835,157.103,,7,54.0,6.1,1973-03-12,E,E7,
2.091,126.643,,6,18.0,6.3,1973-03-16,E,E6,
-19.376,169.359,,11,194.0,6.0,1973-03-17,E,E11,
13.372,122.787,,8,33.0,7.0,1973-03-17,E,E8,
2.033,126.58,,6,33.0,6.5,1973-03-18,E,E6,
23.415,123.957,,8,16.0,6.0,1973-03-26,E,E8,
23.338,123.757,,8,33.0,6.0,1973-03-28,E,E8,
-5.358,147.12,2,11,,,1973-04-01,V,V11,
-8.342,123.258,2,6,,,1973-04-01,V,V6,
4.691,-75.628,,14,158.0,6.2,1973-04-03,E,E14,
6.966,91.384,,10,33.0,6.6,1973-04-07,E,E10,
-58.302,-13.394,,3,33.0,6.7,1973-04-07,E,E3,
-15.779,167.218,,11,35.0,6.4,1973-04-08,E,E11,
64.89,-159.49,,5,0.0,6.0,1973-04-11,E,E5,
50.893,157.443,,7,52.0,6.1,1973-04-12,E,E7,
27.247,140.874,2,1,,,1973-04-12,V,V1,
10.679,-84.759,,14,33.0,6.5,1973-04-14,E,E14,
-16.25,168.12,3,11,,,1973-04-15,V,V11,
-4.439,134.03,,6,33.0,6.4,1973-04-17,E,E6,
4.956,-78.144,,14,50.0,6.5,1973-04-24,E,E14,
-59.281,-26.097,,3,67.0,6.0,1973-04-25,E,E3,
19.8653,-155.1528,,5,38.71,6.2,1973-04-26,E,E5,
-8.119,114.056,1,6,,,1973-05-01,V,V6,
19.421,-155.287,0,5,,,1973-05-05,V,V5,
-21.244,55.708,2,2,,,1973-05-10,V,V2,
45.012,147.871,2,7,,,1973-05-16,V,V7,
54.011,-163.76,,5,30.0,6.0,1973-05-29,E,E5,
-47.796,99.661,,2,33.0,6.3,1973-06-01,E,E2,
-17.192,167.814,,11,24.0,6.1,1973-06-05,E,E11,
-10.294,161.362,,11,70.0,6.3,1973-06-09,E,E11,
53.693,161.594,,7,30.0,6.0,1973-06-11,E,E7,
42.706,146.041,,7,50.0,6.0,1973-06-17,E,E7,
43.233,145.785,,7,48.0,7.7,1973-06-17,E,E7,
43.318,146.442,,7,50.0,7.1,1973-06-24,E,E7,
43.175,146.56,,7,50.0,6.6,1973-06-26,E,E7,
57.84,-137.33,,5,33.0,6.7,1973-07-01,E,E5,
-36.863,-71.377,2,3,,,1973-07-01,V,V3,
57.98,-138.021,,5,33.0,6.0,1973-07-03,E,E5,
12.271,125.433,,6,44.0,6.0,1973-07-03,E,E6,
12.205,125.33,,6,33.0,6.5,1973-07-03,E,E6,
13.225,124.699,,8,38.0,6.0,1973-07-05,E,E8,
-14.215,-169.058,0,11,,,1973-07-10,V,V11,
-15.62,-173.67,3,11,,,1973-07-11,V,V11,
35.178,86.481,,13,33.0,6.9,1973-07-14,E,E13,
44.353,146.252,4,7,,,1973-07-14,V,V7,
-0.381,100.473,2,10,,,1973-07-24,V,V10,
46.042,150.083,1,7,,,1973-07-25,V,V7,
-8.767,160.991,,11,30.0,6.0,1973-07-31,E,E11,
-27.118,-71.514,,3,33.0,6.3,1973-07-31,E,E3,
-14.264,167.274,,11,200.0,6.1,1973-08-01,E,E11,
-7.242,109.208,1,10,,,1973-08-01,V,V10,
-16.231,-173.11,,11,33.0,6.1,1973-08-05,E,E11,
-26.829,-70.919,,3,14.0,6.3,1973-08-07,E,E3,
-26.781,-70.879,,3,25.0,6.1,1973-08-07,E,E3,
-54.351,-136.55,,4,33.0,6.1,1973-08-07,E,E4,
43.446,146.433,,7,55.0,6.0,1973-08-09,E,E7,
50.324,155.461,2,7,,,1973-08-10,V,V7,
32.995,104.015,,8,33.0,6.1,1973-08-11,E,E8,
-4.471,144.042,,11,112.0,6.0,1973-08-13,E,E11,
23.052,101.11,,8,33.0,6.4,1973-08-16,E,E8,
11.511,121.389,,6,14.0,6.1,1973-08-18,E,E6,
-32.791,-179.208,,11,33.0,6.0,1973-08-22,E,E11,
52.381,-174.166,0,5,,,1973-08-25,V,V5,
18.267,-96.598,,0,84.0,6.8,1973-08-28,E,E0,
-0.189,-18.027,,9,33.0,6.8,1973-08-28,E,E9,
42.453,130.907,,7,532.0,6.0,1973-09-10,E,E7,
73.302,55.161,,13,0.0,6.8,1973-09-12,E,E13,
1.358,124.792,1,6,,,1973-09-15,V,V6,
-54.518,-132.624,,4,33.0,6.4,1973-09-18,E,E4,
9.048,123.789,,6,560.0,6.0,1973-09-20,E,E6,
-4.364,-101.939,,4,33.0,6.0,1973-09-21,E,E4,
-4.387,-102.003,,4,33.0,6.1,1973-09-21,E,E4,
-54.849,145.849,,11,33.0,6.3,1973-09-25,E,E11,
21.93,143.47,1,1,,,1973-09-27,V,V1,
41.891,130.872,,7,575.0,6.5,1973-09-29,E,E7,
-5.05,151.33,2,11,,,1973-10-04,V,V11,
-32.518,-71.478,,3,33.0,6.7,1973-10-05,E,E3,
-32.987,-71.916,,3,14.0,6.5,1973-10-05,E,E3,
-60.823,-21.549,,3,33.0,7.0,1973-10-06,E,E3,
-14.233,167.228,,11,9.0,6.4,1973-10-09,E,E11,
-14.27,167.5,2,11,,,1973-10-09,V,V11,
0.636,-29.514,,14,33.0,6.3,1973-10-11,E,E14,
-35.745,178.478,0,11,,,1973-10-15,V,V11,
19.379,-104.975,,0,45.0,6.0,1973-10-18,E,E0,
-21.985,-63.656,,3,529.0,6.1,1973-10-25,E,E3,
-8.32,121.708,2,6,,,1973-10-27,V,V6,
-39.28,175.57,1,11,,,1973-10-31,V,V11,
-0.077,-77.656,3,14,,,1973-11-01,V,V14,
30.443,130.217,2,8,,,1973-11-05,V,V8,
51.579,-175.247,,5,41.0,6.3,1973-11-06,E,E5,
51.619,-175.404,,5,34.0,6.4,1973-11-06,E,E5,
50.052,156.309,,7,33.0,6.1,1973-11-08,E,E7,
19.421,-155.287,0,5,,,1973-11-10,V,V5,
49.975,156.356,,7,51.0,6.0,1973-11-11,E,E7,
55.417,-161.894,2,5,,,1973-11-12,V,V5,
38.911,141.91,,7,56.0,6.1,1973-11-19,E,E7,
-15.198,167.391,,11,124.0,6.0,1973-11-30,E,E11,
-8.53,123.57,2,6,,,1973-12-05,V,V6,
-19.772,169.884,,11,34.0,6.3,1973-12-09,E,E11,
-19.912,169.751,,11,39.0,6.8,1973-12-09,E,E11,
-0.37,-91.55,2,14,,,1973-12-09,V,V14,
24.285,141.481,2,1,,,1973-12-18,V,V1,
-9.436,119.452,,6,58.0,6.0,1973-12-19,E,E6,
11.538,-85.622,2,14,,,1973-12-24,V,V14,
-23.871,179.96,,11,549.0,6.4,1973-12-28,E,E11,
-14.464,166.601,,11,26.0,7.5,1973-12-28,E,E11,
-15.117,166.896,,11,47.0,7.2,1973-12-29,E,E11,
54.64,168.735,,7,33.0,6.0,1973-12-29,E,E7,
-15.506,166.639,,11,10.0,6.6,1973-12-30,E,E11,
-15.317,-173.084,,11,33.0,6.2,1973-12-30,E,E11,
-16.507,168.346,2,11,,,1974-01-01,V,V11,
-22.538,-68.397,,3,105.0,6.4,1974-01-02,E,E3,
-12.299,-76.352,,3,98.0,6.3,1974-01-05,E,E3,
-38.954,46.18,,2,33.0,6.1,1974-01-08,E,E2,
-14.434,166.863,,11,34.0,7.2,1974-01-10,E,E11,
-14.159,166.589,,11,15.0,6.2,1974-01-11,E,E11,
42.126,143.913,,7,45.0,6.1,1974-01-24,E,E7,
18.596,-103.401,,0,33.0,6.1,1974-01-26,E,E0,
-5.157,134.074,,6,33.0,6.3,1974-01-30,E,E6,
37.734,15.004,2,9,,,1974-01-30,V,V9,
-7.461,155.894,,11,34.0,7.0,1974-01-31,E,E11,
-7.383,155.575,,11,40.0,7.1,1974-02-01,E,E11,
-16.829,168.536,0,11,,,1974-02-04,V,V11,
53.799,-164.672,,5,2.0,6.5,1974-02-06,E,E5,
54.134,-165.986,2,5,,,1974-02-11,V,V5,
-4.649,145.964,2,11,,,1974-02-14,V,V11,
11.446,92.357,,10,33.0,6.1,1974-02-16,E,E10,
11.43,92.346,,10,25.0,6.0,1974-02-16,E,E10,
13.909,122.116,,8,17.0,6.1,1974-02-19,E,E8,
52.076,-176.13,2,5,,,1974-02-19,V,V5,
33.151,136.906,,7,385.0,6.0,1974-02-22,E,E7,
-4.03,103.13,2,10,,,1974-02-26,V,V10,
-36.813,176.851,,11,15.0,6.2,1974-02-28,E,E11,
9.336,-84.064,,14,46.0,6.2,1974-02-28,E,E14,
34.724,139.394,1,7,,,1974-02-28,V,V7,
39.099,140.049,1,7,,,1974-03-01,V,V7,
-20.062,169.712,,11,17.0,6.1,1974-03-03,E,E11,
-4.08,145.037,3,11,,,1974-03-04,V,V11,
-6.604,128.978,,6,26.0,6.3,1974-03-06,E,E6,
-7.335,156.193,,11,33.0,6.6,1974-03-09,E,E11,
-7.484,156.179,,11,50.0,6.5,1974-03-09,E,E11,
55.417,-161.894,1,5,,,1974-03-12,V,V5,
-8.242,115.375,2,6,,,1974-03-12,V,V6,
-14.929,-172.833,,11,27.0,6.0,1974-03-18,E,E11,
-21.931,173.707,,11,33.0,6.1,1974-03-23,E,E11,
-23.931,179.779,,11,535.0,6.1,1974-03-23,E,E11,
55.12,-160.443,,5,40.0,6.0,1974-04-06,E,E5,
56.056,160.642,3,7,,,1974-04-08,V,V7,
-26.246,-175.912,,11,45.0,6.1,1974-04-27,E,E11,
-16.693,-177.342,,11,33.0,6.0,1974-05-07,E,E11,
34.522,138.74,,7,2.0,6.5,1974-05-08,E,E7,
-4.372,-102.109,,4,33.0,6.1,1974-05-10,E,E4,
28.243,104.015,,8,11.0,6.8,1974-05-10,E,E8,
19.74,147.274,,1,6.0,6.4,1974-05-11,E,E1,
1.744,126.381,,6,33.0,6.0,1974-05-11,E,E6,
50.05,156.113,,7,56.0,6.1,1974-05-15,E,E7,
-6.513,106.837,,10,131.0,6.0,1974-05-17,E,E10,
-11.173,-75.077,,3,111.0,6.0,1974-05-17,E,E3,
-17.616,167.491,,11,7.0,6.2,1974-05-26,E,E11,
-17.699,167.752,,11,13.0,6.0,1974-05-26,E,E11,
27.226,-111.238,,0,33.0,6.3,1974-05-31,E,E0,
30.443,130.217,1,8,,,1974-06-03,V,V8,
-15.847,-175.101,,11,276.0,6.0,1974-06-04,E,E11,
-15.443,-175.315,,11,33.0,6.0,1974-06-07,E,E11,
10.563,-63.382,,14,34.0,6.1,1974-06-12,E,E14,
-8.119,114.056,2,6,,,1974-06-15,V,V6,
-33.416,56.875,,2,33.0,6.6,1974-06-19,E,E2,
-55.833,-27.451,,3,80.0,6.0,1974-06-24,E,E3,
-26.09,84.28,,2,33.0,6.6,1974-06-25,E,E2,
-54.642,-131.616,,4,33.0,6.1,1974-06-25,E,E4,
-4.718,152.505,,11,70.0,6.1,1974-06-27,E,E11,
-29.082,-175.954,,11,33.0,7.2,1974-07-02,E,E11,
-29.122,-176.11,,11,33.0,6.6,1974-07-03,E,E11,
45.136,94.034,,13,33.0,6.7,1974-07-04,E,E13,
36.414,141.104,,7,35.0,6.0,1974-07-08,E,E7,
7.747,-77.688,,14,12.0,7.3,1974-07-13,E,E14,
58.236,-155.1,3,5,,,1974-07-15,V,V5,
19.421,-155.287,0,5,,,1974-07-19,V,V5,
36.921,138.036,2,7,,,1974-07-28,V,V7,
46.122,153.092,,7,33.0,6.2,1974-07-29,E,E7,
36.353,70.763,,13,211.0,6.5,1974-07-30,E,E13,
56.51,-152.43,,5,0.0,6.0,1974-08-01,E,E5,
56.5898,-152.35,,5,10.0,6.1,1974-08-01,E,E5,
56.5898,-152.22,,5,0.0,6.3,1974-08-01,E,E5,
24.572,122.687,,8,32.0,6.0,1974-08-08,E,E8,
39.469,73.629,,13,9.0,6.1,1974-08-11,E,E13,
39.457,73.83,,13,9.0,7.3,1974-08-11,E,E13,
-38.453,-73.431,,3,36.0,7.1,1974-08-18,E,E3,
55.417,-161.894,3,5,,,1974-09-01,V,V5,
12.3,-61.64,0,14,,,1974-09-05,V,V14,
-9.815,108.356,,10,33.0,6.5,1974-09-07,E,E10,
-37.52,177.18,2,11,,,1974-09-08,V,V11,
10.2,-84.233,2,14,,,1974-09-11,V,V14,
19.421,-155.287,0,5,,,1974-09-19,V,V5,
-23.708,-175.978,,11,33.0,6.3,1974-09-21,E,E11,
-0.278,12.917,,9,33.0,6.2,1974-09-23,E,E9,
43.176,146.651,,7,43.0,6.7,1974-09-27,E,E7,
33.602,141.128,,7,46.0,6.1,1974-09-27,E,E7,
37.734,15.004,2,9,,,1974-09-29,V,V9,
-12.265,-77.795,,3,13.0,7.6,1974-10-03,E,E3,
-58.299,-27.371,,3,33.0,6.0,1974-10-07,E,E3,
17.3,-62.0,,14,47.0,7.5,1974-10-08,E,E14,
44.724,150.119,,7,49.0,6.4,1974-10-09,E,E7,
-4.139,102.827,,10,21.0,6.0,1974-10-10,E,E10,
40.929,143.112,,7,45.0,6.2,1974-10-10,E,E7,
40.96,143.129,,7,29.0,6.2,1974-10-10,E,E7,
14.473,-90.88,4,14,,,1974-10-10,V,V14,
-60.748,153.931,,11,33.0,6.1,1974-10-11,E,E11,
40.506,143.575,,7,24.0,6.0,1974-10-12,E,E7,
52.636,-32.07,,9,33.0,6.9,1974-10-16,E,E9,
-5.519,148.115,1,11,,,1974-10-17,V,V11,
-17.909,-178.612,,11,602.0,6.0,1974-10-21,E,E11,
-8.42,154.034,,11,48.0,7.2,1974-10-23,E,E11,
-15.447,167.176,,11,36.0,6.3,1974-10-27,E,E11,
-6.88,129.463,,6,117.0,6.5,1974-10-29,E,E6,
70.817,54.063,,13,0.0,6.7,1974-11-02,E,E13,
42.489,141.78,,7,132.0,6.0,1974-11-08,E,E7,
-6.498,105.342,,10,51.0,6.1,1974-11-09,E,E10,
-12.5,-77.786,,3,6.0,7.2,1974-11-09,E,E3,
-15.859,-178.51,,11,33.0,6.1,1974-11-10,E,E11,
-9.02,157.95,1,11,,,1974-11-12,V,V11,
58.49,-154.64,,5,25.0,6.6,1974-11-14,E,E5,
-3.19,150.637,,11,18.0,6.1,1974-11-19,E,E11,
-15.023,167.139,,11,33.0,6.9,1974-11-20,E,E11,
-53.566,-28.345,,3,33.0,6.0,1974-11-20,E,E3,
-6.1,154.159,,11,49.0,6.1,1974-11-27,E,E11,
30.698,138.319,,7,419.0,6.1,1974-11-29,E,E7,
-5.012,129.779,,6,33.0,6.5,1974-12-03,E,E6,
0.393,97.843,,10,20.0,6.9,1974-12-04,E,E10,
-7.686,-74.453,,14,162.0,6.0,1974-12-05,E,E14,
-14.563,-175.232,,11,33.0,6.1,1974-12-21,E,E11,
-2.308,99.043,,10,33.0,6.8,1974-12-24,E,E10,
24.285,141.481,2,1,,,1974-12-24,V,V1,
35.054,72.87,,13,22.0,6.2,1974-12-28,E,E13,
-4.649,145.964,2,11,,,1974-12-30,V,V11,
14.126,-91.824,,14,39.0,6.1,1974-12-31,E,E14,
19.421,-155.287,0,5,,,1974-12-31,V,V5,
61.84,-149.56,,5,51.0,6.1,1975-01-01,E,E5,
-0.381,100.473,2,10,,,1975-01-01,V,V10,
-2.995,101.776,,10,95.0,6.0,1975-01-08,E,E10,
-33.512,-178.088,,11,23.0,6.0,1975-01-12,E,E11,
-4.956,129.992,,6,33.0,6.5,1975-01-14,E,E6,
29.406,101.709,,8,33.0,6.0,1975-01-15,E,E8,
32.455,78.43,,13,33.0,6.8,1975-01-19,E,E13,
31.95,78.521,,13,33.0,6.0,1975-01-19,E,E13,
7.218,-77.773,,14,36.0,6.5,1975-01-25,E,E14,
53.113,173.497,,5,10.0,7.6,1975-02-02,E,E5,
40.641,122.58,,8,33.0,7.4,1975-02-04,E,E8,
-7.288,149.513,,11,33.0,6.4,1975-02-07,E,E11,
-39.157,175.632,3,11,,,1975-02-12,V,V11,
-24.886,-179.061,,11,375.0,6.2,1975-02-22,E,E11,
51.377,-179.419,,5,48.0,6.5,1975-02-22,E,E5,
37.734,15.004,1,9,,,1975-02-24,V,V9,
-8.119,114.056,1,6,,,1975-03-01,V,V6,
-2.444,126.145,,6,33.0,6.6,1975-03-05,E,E6,
-16.507,168.346,2,11,,,1975-03-06,V,V11,
27.497,56.26,,13,27.0,6.1,1975-03-07,E,E13,
-21.778,170.526,,11,85.0,6.1,1975-03-13,E,E11,
-29.941,-71.337,,3,4.0,6.9,1975-03-13,E,E3,
-2.546,138.225,,6,33.0,6.0,1975-03-17,E,E6,
-4.231,-77.015,,14,98.0,6.2,1975-03-18,E,E14,
22.735,122.802,,8,21.0,6.6,1975-03-23,E,E8,
40.418,26.139,,9,5.0,6.7,1975-03-27,E,E9,
-6.102,105.423,2,10,,,1975-03-27,V,V10,
42.0628,-112.5247,,0,5.0,6.0,1975-03-28,E,E0,
10.04,-69.755,,14,33.0,6.1,1975-04-05,E,E14,
52.156,160.238,,7,33.0,6.2,1975-04-06,E,E7,
52.212,160.042,,7,33.0,6.2,1975-04-06,E,E7,
-4.041,152.686,,11,133.0,6.3,1975-04-09,E,E11,
-50.803,139.095,,11,33.0,6.3,1975-04-11,E,E11,
71.516,-10.427,,9,13.0,6.5,1975-04-16,E,E9,
-36.403,-98.794,,4,33.0,6.2,1975-04-20,E,E4,
33.19,131.3,,8,7.0,6.1,1975-04-20,E,E8,
16.447,-98.91,,0,11.0,6.2,1975-04-23,E,E0,
-39.28,175.57,2,11,,,1975-04-24,V,V11,
35.819,79.915,,13,33.0,6.3,1975-04-28,E,E13,
12.602,-86.845,0,14,,,1975-05-01,V,V14,
33.093,92.924,,13,33.0,6.1,1975-05-05,E,E13,
-38.183,-73.232,,3,6.0,7.7,1975-05-10,E,E3,
1.018,126.056,,6,36.0,6.3,1975-05-13,E,E6,
-20.965,-173.985,,11,43.0,6.0,1975-05-18,E,E11,
63.02,-150.16,,5,88.0,6.4,1975-05-18,E,E5,
22.697,122.574,,8,6.0,6.2,1975-05-23,E,E8,
35.997,-17.649,,9,33.0,7.9,1975-05-26,E,E9,
0.769,122.621,,6,70.0,6.1,1975-05-27,E,E6,
14.473,-90.88,1,14,,,1975-05-28,V,V14,
-50.416,139.351,,11,33.0,6.1,1975-05-30,E,E11,
43.024,147.734,,7,15.0,7.0,1975-06-10,E,E7,
43.489,147.709,,7,19.0,6.4,1975-06-13,E,E7,
43.55,147.894,,7,31.0,6.0,1975-06-14,E,E7,
36.279,143.429,,7,19.0,6.1,1975-06-14,E,E7,
43.667,147.801,,7,38.0,6.2,1975-06-15,E,E7,
-3.043,147.821,,11,33.0,6.5,1975-06-16,E,E11,
43.171,147.153,,7,21.0,6.1,1975-06-22,E,E7,
-2.7,147.389,,11,33.0,6.2,1975-06-23,E,E11,
55.832,160.326,4,7,,,1975-06-28,V,V7,
38.759,129.99,,7,560.0,6.2,1975-06-29,E,E7,
44.6883,-110.6037,,12,3.98,6.1,1975-06-30,E,E12,
-59.442,-27.225,1,3,,,1975-07-02,V,V3,
19.475,-155.608,0,5,,,1975-07-05,V,V5,
29.459,-113.346,,0,33.0,6.5,1975-07-08,E,E0,
21.485,94.7,,10,157.0,6.5,1975-07-08,E,E10,
6.507,126.642,,6,86.0,6.2,1975-07-10,E,E6,
-40.446,78.443,,2,33.0,6.5,1975-07-14,E,E2,
-30.867,-177.434,,11,37.0,6.1,1975-07-16,E,E11,
-30.623,-177.487,,11,46.0,6.2,1975-07-16,E,E11,
-7.104,155.152,,11,44.0,7.7,1975-07-20,E,E11,
-6.58,154.651,,11,50.0,6.7,1975-07-20,E,E11,
-6.59,155.054,,11,49.0,7.9,1975-07-20,E,E11,
-6.736,155.312,,11,47.0,6.8,1975-07-21,E,E11,
-6.908,155.333,,11,95.0,6.1,1975-07-21,E,E11,
-7.206,155.716,,11,36.0,6.1,1975-07-22,E,E11,
-10.002,123.8,,6,16.0,6.1,1975-07-30,E,E6,
-9.02,157.95,1,11,,,1975-08-01,V,V11,
53.387,-161.485,,5,33.0,6.2,1975-08-02,E,E5,
-2.473,146.044,,11,33.0,6.3,1975-08-06,E,E11,
-22.648,-66.589,,3,166.0,6.2,1975-08-10,E,E3,
54.877,167.845,,7,4.0,6.6,1975-08-15,E,E7,
10.013,125.791,,6,40.0,6.0,1975-08-23,E,E6,
23.5,141.935,0,1,,,1975-08-25,V,V1,
38.474,40.723,,13,26.0,6.7,1975-09-06,E,E13,
6.989,-104.275,,0,33.0,6.4,1975-09-11,E,E0,
54.756,-163.97,2,5,,,1975-09-13,V,V5,
55.417,-161.894,2,5,,,1975-09-13,V,V5,
-34.759,81.849,,2,33.0,6.1,1975-09-19,E,E2,
